depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,23,30,23,30,23,30,0.0004273,0.0096416,0,23,7
1,2,1,11.5,30,23,30,23,30,0.0007267,0.0053582,0,23,7
2,2,0,23,60,23,23,23,30,0.0018412,0.0120414,0,23,7
3,4,0,20.5,106,18,18,23,23,0.0030884,0.0220944,0,20,6
4,8,0,18,184,12,12,24,24,0.0050991,0.0379504,0,17,5
5,16,0,14.1875,292,4,5,23,23,0.0066939,0.0541872,2,13,4
6,28,0,11.5,413,4,5,22,22,0.0080237,0.0707571,1,10,3
7,24,0,11.2083,348,4,4,22,22,0.0065465,0.0523905,1,8,3
8,18,0,9.22222,216,7,7,15,15,0.0019431,0.0236224,1,4,2
9,26,9,6.42308,218,7,7,15,15,0.001052,0.0134027,2,2,3
10,32,11,6.4375,269,7,7,15,15,0.0011632,0.0157338,2,2,3
11,38,9,7.68421,382,7,7,15,15,0.0020072,0.0246648,2,2,3
12,48,7,8.47917,532,7,7,15,15,0.0024661,0.0345082,2,3,3
13,64,7,8.75,732,4,4,15,15,0.0034724,0.0469758,2,3,3
14,76,4,8.80263,872,4,4,15,15,0.0042775,0.0580888,2,3,2
15,104,5,8.33654,1128,4,4,15,15,0.0053649,0.0742447,2,3,2
16,112,4,7.92857,1152,4,4,15,15,0.0054822,0.0775941,2,2,2
17,126,7,7.9127,1294,4,4,15,15,0.0057613,0.0838365,2,2,2
18,148,3,7.52027,1437,4,4,15,15,0.0068478,0.0991467,2,2,2
19,132,2,7.31818,1246,4,4,15,15,0.005071,0.0829524,2,2,2
20,108,2,6.66667,925,4,4,15,15,0.0035236,0.0624188,2,2,1
21,108,1,6.42593,890,4,4,15,15,0.003158,0.0603513,2,2,1
22,98,1,5.82653,729,4,4,10,10,0.0025132,0.0511994,2,2,1
23,76,2,5.47368,530,4,4,10,10,0.0018274,0.0366099,2,1,1
24,52,0,5.32692,352,4,4,7,7,0.0012391,0.0252757,2,2,1
25,36,0,5.41667,248,4,4,7,7,0.0008228,0.0176386,2,2,1
26,26,0,5.03846,166,4,4,7,7,0.0005978,0.0123661,2,2,1
27,14,0,5.5,98,4,4,7,9,0.0003099,0.0069584,2,2,1
28,12,0,4.75,72,4,4,7,9,0.0002516,0.0052966,2,2,1
29,6,0,5,38,4,4,7,7,0.0001262,0.0027447,2,2,1
30,4,0,4.75,24,4,4,7,9,8.26e-05,0.0017665,2,2,1
31,2,0,4,10,4,4,4,5,5.23e-05,0.0007719,2,2,1
