depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,75,71,75,71,75,71,0.0089384,0.0313483,0,75,17,3,3
1,2,0,75,73,69,69,81,86,0.0099688,0.0235656,7,25,17,3,0
2,4,1,98.6667,102.667,82,82,127,134,0.0289471,0.0595468,9,39,24,3,0
3,6,0,84.3333,88.6667,36,36,115,115,0.0655067,0.125067,9,43,21,2,1
4,12,1,68.2727,72.9091,9,9,132,132,0.0762412,0.153517,9,34,17,2,0
5,22,6,62.0625,66.5625,5,5,117,120,0.0783203,0.161253,9,26,15,1,0
6,30,7,59.6957,63.913,13,13,120,120,0.0893546,0.205191,8,26,14,1,0
7,46,12,51.7941,55.6765,13,13,107,107,0.122735,0.276854,7,23,12,0,0
8,68,17,43.4118,46.0588,13,13,93,93,0.119873,0.313696,6,20,9,0,0
9,102,26,33.3158,35.75,9,9,77,77,0.103611,0.322882,5,15,7,0,0
10,150,43,26.0467,28.5327,5,5,61,61,0.0912294,0.339552,3,12,5,0,0
11,202,70,19.3788,21.9545,5,5,61,61,0.0692478,0.319473,3,10,4,0,0
12,240,87,14.3856,16.4248,5,5,36,36,0.0549969,0.283723,3,8,3,0,0
13,246,88,10.9051,12.9494,5,5,35,35,0.0317312,0.222767,3,6,2,0,0
14,246,90,8.12821,9.94231,5,5,19,19,0.0212256,0.175519,3,5,1,0,0
15,182,66,7.36207,9.24138,5,5,12,12,0.0107563,0.110722,1,4,1,0,0
16,116,34,5.90244,7.21951,5,5,9,9,0.00466,0.0580842,1,3,1,0,0
17,26,5,5,6,5,5,5,6,0.0007734,0.0105785,1,2,1,0,0
18,2,1,5,6,5,6,5,6,8.33e-05,0.0009709,0,5,1,0,0
