depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,11,16,11,16,11,16,9.58e-05,0.0048468,0,11,5,0,0
1,2,1,11,16,11,16,11,16,8.65e-05,0.0032121,0,11,5,0,0
2,2,0,11,16,11,11,11,16,0.0002036,0.0067007,0,11,5,0,0
3,4,0,11,16,11,11,11,16,0.0004189,0.0126364,0,11,5,0,0
4,8,0,9,13,7,7,11,11,0.0006465,0.0183907,0,9,4,0,0
5,16,0,8.75,12.5,7,7,12,12,0.0010301,0.0357274,0,8,4,0,0
6,32,0,8.25,11.75,7,7,12,12,0.0018856,0.0687925,0,8,3,0,0
7,62,0,7.41935,10.5,5,5,12,12,0.0030665,0.117862,0,7,3,0,0
8,64,0,6.89062,9.76562,3,3,12,12,0.0022807,0.0976889,0,6,3,0,0
9,32,0,5.875,8.28125,3,3,12,12,0.0008396,0.0428116,0,5,2,0,0
10,28,0,6.28571,8.92857,5,5,9,9,0.0008529,0.041468,0,6,2,0,0
11,44,14,6.26667,8.9,5,5,9,9,0.0008899,0.0453308,0,6,2,0,0
12,52,20,6.25,8.875,5,5,9,9,0.0009609,0.0487837,0,6,2,0,0
13,60,5,6.12727,8.69091,5,5,9,9,0.0015434,0.078164,0,6,2,0,0
14,80,26,6.33333,9,5,5,9,9,0.0017011,0.0826748,0,6,2,0,0
15,92,9,5.98795,8.48193,3,3,9,9,0.0023573,0.112674,0,5,2,0,0
16,80,0,5.625,7.9375,3,3,9,9,0.0019442,0.0969945,0,5,2,0,0
17,88,5,5.43373,7.6506,3,3,9,9,0.0022499,0.109715,0,5,2,0,0
18,86,2,5.07143,7.10714,3,3,7,7,0.001753,0.091801,0,5,2,0,0
19,94,13,5.02469,7.03704,3,3,7,7,0.0016181,0.0938339,0,5,2,0,0
20,116,19,4.83505,6.75258,3,3,7,7,0.0019884,0.111378,0,4,1,0,0
21,124,12,4.67857,6.51786,3,3,7,7,0.001852,0.115376,0,4,1,0,0
22,112,13,4.59596,6.39394,3,3,7,7,0.0015172,0.0972341,0,4,1,0,0
23,100,17,4.54217,6.31325,3,3,7,7,0.0012934,0.0816616,0,4,1,0,0
24,88,13,4.68,6.52,3,3,5,5,0.0011553,0.0730368,0,4,1,0,0
25,78,10,4.55882,6.33824,3,3,5,5,0.0009627,0.0680608,0,4,1,0,0
26,68,10,4.58621,6.37931,3,3,5,5,0.0009437,0.0587909,0,4,1,0,0
27,62,7,4.45455,6.18182,3,3,5,5,0.0007698,0.051137,0,4,1,0,0
28,48,6,4.52381,6.28571,3,3,5,7,0.0005533,0.0386679,0,4,1,0,0
29,40,3,4.72973,6.59459,3,3,5,5,0.000583,0.0357943,0,4,1,0,0
30,42,0,4.19048,5.78571,3,3,5,7,0.0004735,0.0364979,0,4,1,0,0
31,30,0,3.93333,5.4,3,3,5,7,0.0002606,0.0237028,0,3,1,0,0
32,20,0,4,5.5,3,3,5,5,0.0001672,0.0155682,0,4,1,0,0
33,12,0,3.5,4.75,3,3,5,5,4.84e-05,0.0080978,0,3,1,0,0
34,4,0,4,5.5,3,3,5,7,3.53e-05,0.0034546,0,4,1,0,0
35,4,0,3.5,4.75,3,3,5,5,1.83e-05,0.0027637,0,3,1,0,0
