depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,301,323,301,323,301,323,0.0085717,0.157206,0,301,245
1,2,0,281.5,598,236,236,327,350,0.0109983,0.147352,81,164,233
2,4,0,298.5,1289,186,186,408,448,0.0298602,0.371058,81,184,253
3,8,0,324.375,2766,209,209,407,407,0.0767497,0.915973,78,217,275
4,16,0,301.375,5194,210,210,425,425,0.254175,2.30823,84,186,257
5,32,0,277.406,9582,117,117,401,401,0.320916,3.23015,68,188,235
6,64,0,247.094,17151,27,27,468,468,0.633189,7.04488,59,166,209
7,128,3,218.422,30391,21,21,442,442,0.672563,8.89034,53,154,188
8,250,14,195.088,53214,7,7,509,509,1.38027,16.5525,50,141,173
9,472,46,175.814,90989,7,7,533,533,1.30657,20.4547,48,132,162
10,852,74,165.18,154433,5,5,523,523,2.24873,35.9579,40,128,149
11,1556,152,148.57,254917,3,3,568,568,3.68605,61.0145,37,116,135
12,2808,367,132.02,410380,3,3,496,496,5.87938,102.514,33,109,123
13,4882,710,121.43,657559,3,3,487,487,9.46463,162.505,30,103,114
14,8310,1167,112.134,1.03839e+06,3,3,467,467,15.1872,249.031,27,95,104
15,14146,2151,102.244,1.61807e+06,3,3,478,478,29.1802,383.776,24,89,95
16,22844,3330,96.1932,2.46649e+06,3,3,565,565,49.5085,578.07,22,83,88
17,36592,5681,89.1236,3.67206e+06,3,3,531,531,75.0258,856.919,21,79,82
18,45528,6195,90.2288,4.63478e+06,3,3,500,500,100.984,1093.59,20,78,81
