depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,293,383,293,383,293,383,0.0176273,0.0849361,0,293,134
1,2,0,267.5,719,244,291,291,334,0.0359675,0.170541,0,267,132
2,4,0,230,1240,195,195,284,284,0.0424106,0.241411,0,230,111
3,8,0,211,2291,173,173,247,250,0.072963,0.421711,0,211,100
4,16,0,179.438,3887,134,143,227,227,0.112486,0.694608,0,179,83
5,32,0,143.562,6257,58,83,200,200,0.163958,1.08495,0,143,64
6,64,0,121.719,10557,33,46,189,189,0.25828,1.82336,0,121,52
7,128,0,102.812,17798,4,5,166,166,0.41419,3.04252,0,102,43
8,228,0,90.1184,27718,16,16,160,160,0.616532,4.70887,0,90,36
9,392,0,77.0204,40613,4,4,160,160,0.856177,6.80585,0,77,30
10,568,0,66.3873,50674,4,4,151,151,1.04307,8.41468,0,66,25
11,790,0,57.8253,60954,4,4,132,132,1.1984,10.1186,0,57,21
12,912,0,49.807,60213,4,4,113,113,1.13867,9.93775,0,49,18
13,814,0,43.0553,46034,4,4,106,106,0.842669,7.61328,0,43,15
14,730,0,38.2329,36515,4,4,93,93,0.670141,6.10737,0,38,13
15,700,0,34.22,31152,4,4,102,102,0.557648,5.15985,0,34,11
16,630,0,27.6079,22486,4,4,81,81,0.36265,3.67129,0,27,9
17,500,0,20.946,13475,4,4,67,67,0.184028,2.17253,0,20,6
18,402,4,16.9577,8756,4,4,50,50,0.104755,1.40102,0,17,5
19,350,3,15.0971,6770,4,4,41,41,0.0737361,1.08353,0,15,4
20,284,4,12.6232,4574,4,4,29,29,0.0429038,0.720552,0,12,3
21,248,9,10.6452,3402,4,4,35,35,0.0269713,0.518525,0,11,3
22,222,7,8.32883,2351,4,4,34,34,0.0145836,0.362622,0,8,2
23,172,3,8.79651,1931,4,4,34,34,0.0112771,0.306788,0,8,2
24,100,1,5.86,738,4,4,31,31,0.0027021,0.111616,0,5,1
25,74,0,8.55405,814,4,4,26,26,0.0053164,0.120755,0,8,2
26,46,0,7.6087,453,4,4,20,20,0.0023925,0.0674308,0,7,2
27,44,0,5.86364,332,4,4,15,15,0.001164,0.0516968,0,5,1
28,42,0,4.09524,215,4,4,8,8,5.42e-05,0.034493,0,4,1
29,40,8,3.2,160,4,4,4,5,0,0.0270065,0,4,1
30,10,5,2,25,4,4,4,5,0,0.004598,0,4,1
