depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,136,68,136,68,136,68,0.0228414,0.0577127,0,136,16,23,23
1,2,0,81.5,52.5,51,51,112,65,0.0433249,0.0695843,7,63,11,5,5
2,4,1,47.6667,37.6667,45,37,51,51,0.008022,0.0198036,7,20,7,0,0
3,6,2,37,30.25,17,17,47,45,0.0040077,0.0122635,5,9,6,0,0
4,8,0,18.25,18.125,5,5,34,34,0.0061115,0.0212298,3,11,3,0,0
5,14,3,14.6364,15.2727,9,9,23,23,0.0038765,0.0176657,3,6,2,0,0
6,22,9,15.7692,16.2308,9,9,23,23,0.0037703,0.0152571,2,3,2,0,0
7,26,10,12.625,13.4375,5,5,23,23,0.0008882,0.0099109,2,1,2,0,0
8,28,10,10.6667,11.8333,9,9,11,12,0.0016742,0.0109836,2,2,2,0,0
9,36,16,9.6,10.7,5,5,11,12,0.0001411,0.0053443,2,0,1,0,0
10,32,8,6.91667,7.95833,5,5,11,11,0.0007477,0.0096232,2,1,1,0,0
11,16,0,5,6,5,5,5,6,0.0005845,0.006959,2,2,1,0,0
