depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,46,60,46,60,46,60,0.0021983,0.026344,0,46,17
1,2,0,66,167,37,37,95,119,0.0095677,0.0620263,0,66,27
2,4,0,66.5,328,30,30,115,115,0.0238762,0.147733,0,66,26
3,8,0,67.25,678,21,21,136,137,0.0230218,0.147523,0,67,27
4,16,1,59.1875,1193,18,18,150,150,0.0320573,0.228449,0,63,26
5,30,2,47.8667,1801,10,10,143,143,0.0422805,0.325203,0,51,20
6,56,6,39.5893,2779,10,10,117,117,0.0611216,0.492213,0,44,16
7,100,15,33.78,4248,7,7,128,128,0.0912894,0.751532,0,39,14
8,170,24,29.0235,6190,7,7,132,132,0.122252,1.07363,0,33,12
9,290,65,22.5241,8163,4,4,119,119,0.149393,1.38756,0,29,10
10,428,90,20.0701,10727,4,4,154,154,0.189985,1.84286,0,25,8
11,586,133,17.4915,12800,4,4,119,119,0.209282,2.12679,0,22,7
12,622,164,15.0659,11786,4,4,87,87,0.184787,1.95532,0,20,6
13,642,175,13.1931,10732,4,4,94,94,0.154829,1.71536,0,18,5
14,608,184,11.4934,8854,4,4,68,68,0.115151,1.38598,0,16,5
15,526,176,9.50951,6378,4,4,58,58,0.073633,0.976454,0,14,4
16,344,109,7.68314,3379,4,4,42,42,0.02957,0.511474,0,11,3
17,252,80,6.24206,2014,4,4,55,55,0.0151545,0.301682,0,9,2
18,158,37,5.3481,1083,4,4,23,23,0.0050071,0.155875,0,6,2
19,84,24,4.90476,529,4,4,19,19,0.0021995,0.0775977,0,6,1
20,42,9,4.66667,250,4,4,12,12,0.0007862,0.0358285,0,5,1
21,16,5,3.3125,67,4,4,7,7,9.96e-05,0.0095193,0,4,1
22,4,1,3,15,4,4,4,5,0,0.0018838,0,4,1
