depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,31,38,31,38,31,38,0.0004278,0.0134002,0,31,18,11,11
1,2,0,30.5,38.5,21,21,40,51,0.0012535,0.0172521,5,28,20,12,12
2,4,0,31.75,38,22,22,53,58,0.0019496,0.0285625,4,25,21,14,12
3,8,1,31.4286,37.4286,21,21,52,57,0.0026636,0.04058,6,20,20,14,7
4,14,1,31.1538,37.1538,10,10,59,63,0.0059007,0.0772607,6,20,20,14,9
5,26,4,30.3182,35.7727,5,5,67,74,0.00782,0.108639,8,17,19,13,8
6,44,8,27.4722,32.8056,7,7,66,66,0.0102349,0.138507,7,15,17,11,6
7,72,16,25.0357,30.2143,3,3,50,50,0.0145711,0.204601,6,16,15,10,6
8,112,26,24.1163,29.1047,3,3,60,60,0.0227588,0.343855,5,16,14,9,6
9,170,41,22.9147,27.6512,3,3,53,53,0.0289055,0.427271,5,14,13,8,5
10,248,70,19.3933,23.8933,3,3,51,51,0.0338677,0.499133,4,12,11,6,4
11,300,86,17.5467,21.8131,3,3,41,41,0.0352341,0.536381,4,11,9,5,3
12,350,105,16.2245,20.449,3,3,42,42,0.038208,0.573786,4,10,8,4,3
13,406,139,14.6891,18.6966,3,3,34,34,0.0359052,0.563191,3,9,7,3,2
14,436,143,12.9966,16.7099,3,3,40,40,0.0335766,0.524621,3,8,6,2,1
15,460,168,11.2158,14.6301,3,3,38,38,0.0271555,0.443906,3,6,5,2,1
16,440,165,10.1891,13.4036,3,3,29,29,0.0217613,0.376372,2,6,4,1,1
17,430,158,8.74265,11.6397,3,3,26,26,0.0174755,0.310666,2,5,4,1,0
18,416,166,7.836,10.476,3,3,21,21,0.0132926,0.260878,2,4,3,0,0
19,328,135,6.90155,9.3886,3,3,22,22,0.0084742,0.178259,2,4,3,0,0
20,264,116,6.16892,8.4527,3,3,16,16,0.0054509,0.122833,2,3,2,0,0
21,92,43,5.55102,7.59184,3,3,11,11,0.0015712,0.0404718,2,3,2,0,0
22,52,24,5.5,7.46429,3,3,9,9,0.001004,0.024115,2,3,2,0,0
23,20,9,4.36364,6,3,3,8,8,0.0002259,0.0068718,2,2,1,0,0
24,6,3,4.33333,6,3,3,5,7,6.78e-05,0.0020228,3,3,1,0,0
