depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,27,34,27,34,27,34,0.0006983,0.0169485,0,27,19
1,2,0,20.5,56,15,21,26,26,0.000581,0.0083049,7,14,13
2,4,0,15,82,7,9,18,18,0.0014701,0.0167502,5,9,9
3,8,0,10,110,3,4,15,15,0.0016526,0.0241346,3,6,5
4,14,0,6.42857,126,3,3,10,10,0.0014161,0.0200296,2,4,2
5,22,0,5,153,3,3,9,9,0.0014939,0.0271946,1,3,2
6,20,2,3.9,108,3,3,7,7,0.0011461,0.0226611,0,3,1
7,8,2,2.75,30,3,3,5,5,0.0001925,0.004856,0,3,1
8,2,0,3,8,3,3,3,4,0.000104,0.0018561,0,3,1
9,2,1,1.5,4,3,4,3,4,3e-05,0.0013247,0,3,1
