depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,196,102,196,102,196,102,0.0425762,0.103055,0,196,27,35,35
1,2,0,103,67,57,41,149,149,0.0357731,0.090431,0,103,15,10,10
2,4,1,72.3333,50.3333,57,41,103,103,0.0269635,0.0817211,0,72,11,4,4
3,6,1,42.4,34.4,15,15,57,52,0.0157544,0.056261,0,42,7,0,0
4,10,3,30.2857,25.5714,5,5,57,52,0.0136626,0.0511529,0,30,5,0,0
5,12,3,21.8889,20.7778,11,11,35,35,0.0065347,0.0390103,0,21,3,0,0
6,18,5,15.4615,15.3077,5,5,25,25,0.0045719,0.0367752,0,15,2,0,0
7,22,10,15.6667,15.6667,11,11,25,25,0.0039717,0.0343993,0,15,2,0,0
8,24,8,11,12,11,11,11,12,0.0017002,0.030559,0,11,2,0,0
9,32,14,9.66667,10.6667,5,5,11,12,0.0015063,0.0307523,0,9,1,0,0
10,28,4,6,7,5,5,11,11,0.0004105,0.0224338,0,6,1,0,0
11,8,0,5,6,5,5,5,6,0,0.0058251,0,5,1,0,0
