depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,50,67,50,67,50,67,0.0005638,0.014855,0,50,27,10,10
1,2,0,47.5,64,45,45,50,66,0.0011698,0.015907,12,29,28,11,8
2,4,0,38.75,53,33,33,44,56,0.0022314,0.0244937,11,24,22,8,5
3,8,0,37.5,51,29,29,46,49,0.0035547,0.0488233,9,23,22,8,6
4,16,0,31.625,43.6875,22,22,41,41,0.0061037,0.073499,9,20,18,6,4
5,28,0,27.1071,37.5,17,20,40,40,0.008225,0.106464,7,17,14,4,3
6,40,0,24.225,33.575,7,10,40,40,0.0096722,0.141841,5,16,13,3,3
7,62,0,21.5484,29.6129,3,4,41,41,0.0133119,0.203274,5,15,11,3,3
8,76,0,17.2105,23.7895,3,3,34,34,0.012273,0.191969,4,11,9,2,2
9,108,0,14.7963,20.3704,3,3,30,30,0.0158075,0.224711,3,10,7,2,1
10,118,0,12.9746,17.822,3,3,30,30,0.0142115,0.208308,3,8,6,2,1
11,120,0,10.8917,14.9083,3,3,30,30,0.0119152,0.191391,2,7,5,1,1
12,112,0,9.03571,12.3214,3,3,23,23,0.0089667,0.154182,2,6,4,1,0
13,114,0,6.84211,9.48246,3,3,16,16,0.0061336,0.11393,1,4,3,0,0
14,104,1,6.24272,8.64078,3,3,16,16,0.0050591,0.0982509,2,4,2,0,0
15,100,0,5.1,7.11,3,3,10,10,0.0039668,0.0757521,1,3,2,0,0
16,68,2,4.39394,6.07576,3,3,9,9,0.0022801,0.048075,1,3,1,0,0
17,46,1,3.4,4.6,3,3,7,7,0.0009931,0.0226633,0,2,1,0,0
18,32,3,3.89655,5.34483,3,3,5,5,0.0008985,0.0216302,0,3,1,0,0
19,10,2,3,4,3,3,3,4,0.0001381,0.003768,0,2,1,0,0
20,6,3,3,4,3,3,3,4,6.65e-05,0.0019868,0,3,1,0,0
