depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,197,93,197,93,197,93,0.0555741,0.113082,0,197,24,46,46
1,2,0,93,56.5,54,54,132,75,0.0247923,0.0656239,0,93,13,12,12
2,4,1,59.3333,41.6667,54,44,64,60,0.0160552,0.0544645,0,59,8,3,3
3,6,2,44,33.25,17,17,64,60,0.0152539,0.0544128,0,44,6,2,2
4,8,0,18.75,18.25,5,5,35,33,0.0042594,0.031951,0,18,3,0,0
5,14,3,15.3636,15.6364,9,9,27,24,0.0031394,0.0325848,0,15,2,0,0
6,22,9,16.8462,16.7692,9,9,27,27,0.0048439,0.0445039,0,16,2,0,0
7,26,10,13.625,13.9375,5,5,27,27,0.0039083,0.0411975,0,13,2,0,0
8,28,10,10.8889,11.9444,9,9,11,12,0.0017413,0.0337576,0,10,2,0,0
9,36,16,9.7,10.75,5,5,11,12,0.0015628,0.0334537,0,9,1,0,0
10,32,8,6.91667,7.95833,5,5,11,11,0.0008621,0.0271134,0,6,1,0,0
11,16,0,5,6,5,5,5,6,0,0.0120305,0,5,1,0,0
