depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,12,16,12,16,12,16,0.0001201,0.0064636,0,12,7,3,3
1,2,1,12,16,12,16,12,16,0.0001578,0.0037899,0,12,7,3,3
2,2,0,12,16,12,12,12,16,0.0003765,0.0074512,0,12,7,3,3
3,4,0,12,16,12,12,12,16,0.0009556,0.018725,0,12,7,3,3
4,8,0,10,13.5,8,8,12,12,0.0013778,0.0262694,0,10,5,2,2
5,16,0,10,13.5,8,8,12,12,0.0032875,0.0552839,0,10,5,2,2
6,32,0,9,12.25,8,8,12,12,0.0054723,0.087478,0,9,4,1,1
7,52,0,7.53846,10.3462,5,5,12,12,0.0056174,0.103195,0,7,3,0,0
8,22,0,6.09091,8.5,5,5,8,8,0.0016653,0.029372,0,5,2,0,0
9,12,0,4,5.5,3,3,5,5,0.0003903,0.00976,1,3,1,0,0
10,6,0,5,7,5,5,5,7,0.0001647,0.0040521,1,2,2,0,0
11,6,3,5,7,5,5,5,7,0,0.0009308,2,0,2,0,0
12,6,0,5,7,5,5,5,7,0.0001472,0.0042267,1,2,2,0,0
13,6,3,5,7,5,5,5,7,0,0.0009376,2,0,2,0,0
14,6,3,5,7,5,5,5,7,0,0.0009568,2,0,2,0,0
15,6,1,5,7,5,5,5,7,9.84e-05,0.0031076,1,2,2,0,0
16,6,2,5,7,5,5,5,7,4.92e-05,0.0019981,1,1,2,0,0
17,6,3,5,7,5,5,5,7,0,0.0009892,2,0,2,0,0
18,6,0,5,7,5,5,5,7,0.0001391,0.0038501,1,2,2,0,0
19,10,2,5,7,5,5,5,7,0.0001237,0.0044114,1,1,2,0,0
20,14,4,4.6,6.4,3,3,5,7,0.0001217,0.0045571,1,1,1,0,0
21,16,2,5,7,5,5,5,7,0.0002123,0.0073809,1,1,2,0,0
22,16,2,5,7,5,5,5,7,0.0001785,0.0063959,1,1,2,0,0
23,12,0,3.66667,5,3,3,5,5,0.0001284,0.0044574,1,1,1,0,0
24,4,0,3,4,3,3,3,4,3.99e-05,0.0013182,1,1,1,0,0
