depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,80,113,80,113,80,113,0.0028276,0.0218048,0,80,36,4,4
1,2,0,57.5,78,55,55,60,82,0.0071963,0.0277067,13,40,22,1,1
2,4,0,43.25,58.75,37,37,51,64,0.008358,0.0399559,9,28,16,0,0
3,8,0,32.25,42.75,24,24,48,48,0.0110157,0.0613927,5,21,11,0,0
4,16,0,23.1875,30.75,4,5,32,32,0.0141327,0.0777698,4,14,7,0,0
5,30,1,18.1379,23.8966,4,4,26,26,0.0149756,0.0937598,2,12,5,0,0
6,48,5,12.2326,15.7442,4,4,21,21,0.0123386,0.0880077,2,8,3,0,0
7,52,9,9.06977,11.6047,4,4,14,14,0.0066921,0.0636214,2,6,2,0,0
8,58,14,5.72727,7.29545,4,4,8,8,0.0034884,0.0439074,2,4,1,0,0
9,36,8,4,5,4,4,4,5,0.0012231,0.019746,0,3,1,0,0
10,20,10,4,5,4,4,4,5,0.0004191,0.0083348,0,4,1,0,0
