depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,75,71,75,71,75,71,0.0077793,0.0259178,0,75,17,3,3
1,2,0,63.5,61.5,52,52,75,75,0.0092319,0.0202198,8,26,14,2,0
2,4,0,60.5,56.75,42,42,75,75,0.019111,0.0464363,7,30,12,1,0
3,8,0,55.25,55.375,38,38,75,75,0.0252764,0.0694256,6,25,12,0,0
4,16,0,47.1875,46.0625,24,24,72,72,0.0640528,0.141591,5,24,9,0,0
5,32,1,38.1613,38.6774,15,15,75,75,0.052902,0.152741,4,18,8,0,0
6,62,6,31.8571,32.1607,9,9,75,75,0.081459,0.238867,3,16,6,0,0
7,112,23,26.6404,27.4607,9,9,90,90,0.0862915,0.292578,3,13,5,0,0
8,178,48,22.0615,22.8846,9,9,66,66,0.0836676,0.318277,3,11,4,0,0
9,256,79,17.452,18.5932,9,9,62,62,0.0742642,0.328355,3,8,3,0,0
10,344,121,14.0045,15.3453,5,5,44,44,0.0661504,0.352606,3,7,2,0,0
11,428,173,10.3451,11.7294,5,5,30,30,0.0488463,0.309677,3,6,2,0,0
12,432,184,7.375,8.71774,5,5,21,21,0.0253035,0.226721,2,4,1,0,0
13,306,134,6.31395,7.63372,5,5,17,17,0.0138991,0.157093,1,4,1,0,0
14,108,42,6.18182,7.60606,5,5,12,12,0.0048329,0.0580112,1,4,1,0,0
15,20,6,5.28571,6.35714,5,5,9,9,0.0007237,0.0091586,1,3,1,0,0
16,2,1,5,6,5,6,5,6,6.16e-05,0.0008996,0,5,1,0,0
