depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,7762,2081,7762,2081,7762,2081,17.0081,19.597,0,7762,1106,5133,5133
1,2,0,4492.5,1423.5,4449,1286,4536,4536,32.8379,35.4392,294,3599,666,2657,2261
2,4,0,3088,1227,2584,846,3769,3769,33.4803,37.83,243,2277,526,1603,1273
3,8,0,2198.38,1075.25,913,439,3445,3445,32.3549,40.8465,231,1582,433,1010,804
4,16,0,1596.12,867.188,449,390,3401,3401,31.4746,45.4854,213,954,336,651,422
5,32,6,1341.62,776.346,449,302,3245,3245,34.1477,49.4926,205,664,294,513,286
6,52,11,1143.39,722.512,319,302,3010,3010,40.6055,61.055,174,559,273,416,212
7,82,16,964.318,668.818,253,253,2934,2934,52.3125,82.0224,169,451,253,330,164
8,132,38,853.17,634.138,207,207,2575,2575,51.6661,80.7749,172,332,240,276,116
9,188,62,745.413,563.175,176,176,2492,2492,32.7893,57.3255,179,195,210,231,62
10,252,88,678.415,518.896,172,172,2408,2408,39.5127,60.8585,159,182,191,204,58
11,328,120,610.639,475.846,109,109,2066,2066,36.671,54.0806,150,135,173,177,40
12,416,163,562.237,443.601,109,109,1915,1915,32.0276,50.1464,142,107,159,157,31
13,506,172,503.754,400.045,98,98,1735,1735,49.7915,79.6987,119,133,140,134,37
14,666,210,444.474,356.921,61,61,1704,1704,65.7001,103.594,102,132,121,111,34
15,906,293,391.564,318.181,61,61,1501,1501,68.1135,105.482,89,111,105,91,26
16,1214,430,355.177,291.177,61,61,1263,1263,65.7815,98.928,82,88,94,78,20
17,1544,606,326.773,269.753,50,50,1149,1149,48.1842,72.7875,77,61,85,68,13
18,1858,757,298.639,248.847,48,48,1031,1031,36.9118,63.4019,72,44,77,60,8
19,2180,813,266.287,222.468,46,46,1027,1027,53.7568,94.7837,62,53,67,50,10
20,2698,899,226.748,190.775,21,21,815,815,63.9383,111.343,51,55,56,38,10
21,3536,1145,194.608,164.703,17,17,730,730,74.3655,130.922,41,51,46,30,8
22,4662,1664,171.319,145.708,11,11,648,648,65.6643,123.419,36,40,40,24,6
23,5792,2181,152.971,130.489,11,11,571,571,59.0007,118.187,32,32,35,19,4
24,6944,2680,135.549,115.976,11,11,509,509,44.0976,104.716,28,24,30,16,2
25,8160,3179,120.711,103.432,11,11,427,427,46.8023,114.718,24,22,26,13,2
26,9624,3289,100.165,85.8849,11,11,363,363,44.6043,131.292,20,21,21,9,2
27,12010,3889,82.1774,70.654,11,11,305,305,48.1452,168.501,15,20,16,7,1
28,14658,5251,72.195,62.0422,9,9,261,261,43.5376,180.351,13,16,14,5,1
29,16908,6404,63.4491,54.8319,5,5,215,215,30.8059,168.444,11,12,12,4,0
30,19084,8103,57.5924,50.2914,9,9,176,176,13.4293,126.356,10,6,10,3,0
31,20400,7421,48.1784,42.7506,5,5,145,145,17.2388,181.706,8,8,8,2,0
32,22982,8245,40.7213,36.7063,5,5,121,121,15.219,192.389,7,7,7,1,0
33,25484,8485,33.3338,30.8195,5,5,97,97,13.6144,222.274,6,7,5,0,0
34,27755,10494,29.5244,27.8411,5,5,81,81,8.80023,209.079,5,5,5,0,0
