depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,27,31,27,31,27,31,0.0005453,0.0084551,0,27,8,1,1
1,2,0,27.5,32,27,28,28,29,0.0011222,0.0079188,3,15,9,1,1
2,4,0,34.5,42.5,28,28,49,62,0.0035196,0.0225184,2,21,12,2,1
3,8,0,36.5,43.25,19,19,65,83,0.0086085,0.0473386,3,22,12,2,1
4,16,4,36.4167,44.25,7,7,59,76,0.013058,0.0712978,4,19,13,2,1
5,24,5,36.2632,42.6842,13,13,72,72,0.0259477,0.134247,4,27,12,2,1
6,38,8,30.0667,36.1333,4,4,66,66,0.0228894,0.123853,4,18,10,1,0
7,60,18,26.7143,32.4048,7,7,61,61,0.0276476,0.158624,3,17,8,1,0
8,84,40,25.3409,31.0455,7,7,66,73,0.0237037,0.145967,4,15,8,1,0
9,88,31,20.2281,24.7193,4,4,67,67,0.0255331,0.157193,3,13,6,0,0
10,114,46,17.7353,21.7059,4,4,44,44,0.023462,0.160637,2,11,5,0,0
11,116,49,14.6269,17.9701,4,4,32,32,0.0173666,0.125386,3,9,4,0,0
12,100,37,12.5556,15.4603,4,4,38,38,0.0119884,0.0942924,2,7,3,0,0
13,56,25,10,12.3548,4,4,20,20,0.0036022,0.0362607,2,6,2,0,0
14,50,18,8.40625,10.4375,4,4,19,19,0.0032426,0.0328576,2,5,2,0,0
15,38,13,7.4,9.28,4,4,12,12,0.0017988,0.0212137,2,4,1,0,0
16,28,12,6.25,7.875,4,4,8,8,0.0010044,0.0123969,2,4,1,0,0
17,14,5,4,5,4,4,4,5,0.0001916,0.003587,2,2,1,0,0
