depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,80,97,80,97,80,97,0.0035187,0.0242192,0,80,36,15,15
1,2,0,70.5,84.5,67,67,74,87,0.005939,0.0417804,0,70,31,14,14
2,4,0,67.5,82.5,63,66,73,82,0.0116278,0.0797016,0,67,31,12,12
3,8,1,60.8571,74.8571,40,40,79,99,0.0154928,0.121127,0,60,28,11,11
4,14,0,50,60.8571,18,18,82,93,0.0206628,0.171519,0,50,21,7,7
5,28,5,43.7826,52.5217,14,14,76,104,0.0273907,0.238371,0,43,17,6,6
6,46,10,34.5278,41.25,11,11,63,86,0.0296371,0.267205,0,34,13,4,4
7,72,22,27.44,33.02,10,10,75,103,0.0282964,0.279078,0,27,9,2,2
8,100,41,25.2542,30.8136,7,7,93,131,0.0295644,0.300731,0,25,8,1,1
9,118,46,21.5278,26.4167,8,8,88,88,0.0291977,0.310845,0,21,7,1,1
10,144,59,17.1647,21.2941,7,7,49,49,0.0228939,0.283711,0,17,5,0,0
11,168,70,13.5714,17.1633,4,4,41,41,0.0174479,0.250736,0,13,4,0,0
12,184,79,11.1714,14.1238,4,4,32,32,0.0130502,0.220029,0,11,3,0,0
13,160,69,8.87912,11.3516,4,4,30,30,0.0070963,0.151529,0,8,2,0,0
14,130,49,7.53086,9.51852,4,4,20,20,0.0041129,0.106779,0,7,2,0,0
15,86,25,5.65574,7.13115,4,4,13,13,0.0012535,0.055812,0,5,1,0,0
16,32,7,4.44,5.56,4,4,8,10,0.0001268,0.0174433,0,4,1,0,0
17,4,1,4,5,4,4,4,5,0,0.0018724,0,4,1,0,0
