depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,11,16,11,16,11,16,0.0002181,0.0063606,0,11,5,0,0
1,2,1,11,16,11,16,11,16,0.0002096,0.0036637,0,11,5,0,0
2,2,0,11,16,11,11,11,16,0.0002764,0.0055413,0,11,5,0,0
3,4,0,10.5,15,9,9,12,13,0.0006136,0.0118506,0,10,5,0,0
4,8,0,10.5,15,9,9,12,13,0.0013376,0.0239062,0,10,5,0,0
5,16,0,10,14.25,9,9,12,13,0.0026942,0.0486368,0,10,4,0,0
6,32,0,8.5,12.125,7,7,12,12,0.0042419,0.0750691,0,8,3,0,0
7,64,0,7,9.875,5,5,10,10,0.006405,0.119131,0,6,3,0,0
8,112,0,5.83929,8.1875,3,3,10,10,0.0075276,0.143435,0,5,2,0,0
9,56,0,5.28571,7.42857,3,3,11,11,0.0028637,0.0620893,0,4,2,0,0
10,16,0,5.5,7.75,5,5,7,7,0.00052,0.0116368,1,2,2,0,0
11,22,8,5.57143,7.85714,5,5,7,7,0.0001972,0.0071602,1,1,2,0,0
12,24,0,5.5,7.75,5,5,7,7,0.000837,0.0219899,1,2,2,0,0
13,28,11,5.58824,7.88235,5,5,7,7,0.0002154,0.0094434,1,1,2,0,0
14,28,5,5.52174,7.78261,5,5,7,7,0.0004937,0.0133347,1,1,2,0,0
15,28,8,5.7,8.05,5,5,7,7,0.0003453,0.0110754,1,1,2,0,0
16,28,10,5.33333,7.5,5,5,7,7,0.0001976,0.0080103,2,1,2,0,0
17,26,7,5.31579,7.47368,5,5,7,7,0.0002999,0.0099771,1,1,2,0,0
18,30,6,5.33333,7.5,5,5,7,7,0.0003591,0.0119877,1,1,2,0,0
19,36,3,5.06061,7.09091,3,3,7,7,0.0005309,0.0166573,1,1,2,0,0
20,34,3,4.87097,6.80645,3,3,7,7,0.000462,0.0149011,1,1,1,0,0
21,44,3,4.65854,6.4878,3,3,5,5,0.0005585,0.0193101,1,1,1,0,0
22,52,3,4.22449,5.83673,3,3,5,7,0.00061,0.021169,1,1,1,0,0
23,44,4,4.3,5.95,3,3,5,7,0.0004489,0.0165311,1,1,1,0,0
24,42,2,4.1,5.65,3,3,5,7,0.0004807,0.0164684,1,1,1,0,0
25,32,0,3.875,5.3125,3,3,5,5,0.0003816,0.0129396,1,1,1,0,0
26,20,0,4,5.5,3,3,5,7,0.0002341,0.0081987,2,1,1,0,0
27,14,0,3.71429,5.07143,3,3,5,5,0.0001568,0.0054194,1,1,1,0,0
28,8,0,3.75,5.125,3,3,5,5,8.96e-05,0.0031301,2,1,1,0,0
29,4,0,5,7,5,5,5,7,5.06e-05,0.0018311,2,1,2,0,0
30,4,0,3.5,4.75,3,3,5,5,4.39e-05,0.0014877,2,1,1,0,0
31,2,0,4,5.5,3,4,5,5,2.07e-05,0.0007951,2,1,1,0,0
