depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,274,313,274,313,274,313,0.0067877,0.0899978,0,274,238,199,199,0
1,2,0,241,273.5,239,243,243,272,0.0111018,0.153882,0,241,201,169,169,0
2,4,0,229,263.25,223,223,235,270,0.0148861,0.248126,0,229,190,156,156,0
3,8,0,210.125,244.375,191,191,224,248,0.0278965,0.454468,0,210,172,138,138,0
4,16,0,195.062,227.438,178,178,215,239,0.0487451,0.839588,0,195,158,126,126,0
5,32,0,179.312,210.844,160,160,207,234,0.0884027,1.53412,0,179,144,112,112,0
6,64,0,163.938,194.328,139,139,198,221,0.149202,2.72747,0,163,130,100,100,0
7,128,0,150.344,179.266,120,120,195,195,0.268951,4.97245,0,150,118,89,89,0
8,256,0,138.293,165.934,109,109,182,182,0.486228,9.0336,0,138,107,79,79,0
9,512,0,127.748,154.125,97,97,168,168,0.887411,16.6134,0,127,98,71,71,0
10,1002,0,120.017,144.945,80,80,171,171,1.62508,30.392,0,120,91,66,66,0
11,1860,0,112.145,135.927,69,69,160,160,2.8074,52.4125,0,112,84,60,60,0
12,3228,0,105.325,128.022,67,67,159,159,4.55004,85.432,0,105,78,56,56,0
13,5414,0,99.9359,121.726,64,64,170,170,7.41079,135.35,0,99,74,52,52,0
14,7936,0,94.9225,116.025,53,53,164,164,10.4087,187.77,0,94,70,49,49,0
15,9728,0,89.7562,109.933,32,32,164,164,12.1618,219.709,0,89,66,45,45,0
16,12806,0,84.3072,103.501,14,16,161,161,15.1762,269.037,0,84,61,42,42,0
17,16784,0,78.6458,96.8314,3,3,163,163,18.7118,328.718,0,78,56,38,38,0
18,19986,0,72.7026,89.7657,3,3,139,139,20.6777,362.984,0,72,51,34,34,0
19,20340,0,66.8827,82.6403,3,3,141,141,19.0026,314.074,0,66,47,31,31,0
20,20110,0,61.7525,76.3085,3,3,135,135,17.2194,285.483,0,61,43,28,28,0
21,21860,0,57.6376,71.4426,3,3,134,134,17.3907,289.243,0,57,40,26,26,0
22,22502,0,53.9981,67.0229,3,3,134,134,16.6056,278.397,0,53,37,24,24,0
23,24136,0,50.4451,62.7209,3,3,130,130,16.2926,278.172,0,50,34,22,22,0
24,23282,0,46.101,57.4031,3,3,127,127,14.071,244.201,0,46,31,20,20,0
25,19415,0,43.0848,53.6124,3,3,124,124,10.7277,189.279,0,43,29,18,18,0
