depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay
0,1,0,132,153,132,153,132,153,0.0267589,0.0602562,0,132,39,3,3
1,2,0,179.5,206.5,133,133,226,256,0.0926397,0.152118,14,113,51,4,2
2,4,0,170.25,193.25,126,126,218,253,0.12608,0.195187,16,82,46,4,1
3,8,0,168.5,186.75,108,108,294,332,0.218466,0.363179,13,95,44,3,1
4,16,0,136.625,146.688,56,56,269,317,0.419198,0.645651,13,75,33,3,1
5,32,4,120.643,127.179,38,38,265,333,0.614664,0.931802,13,62,29,3,2
6,56,7,96.5102,102.653,11,11,242,257,0.727714,1.19302,10,53,23,2,1
7,98,22,80.3289,84.75,11,11,204,204,0.96063,1.60423,9,48,19,2,1
8,152,44,66.8889,70.5278,5,5,207,207,0.889122,1.58147,8,37,15,1,0
9,214,66,53.25,55.9527,5,5,189,189,0.801273,1.53954,6,29,11,0,0
10,294,84,41.6048,43.7286,5,5,131,131,0.729137,1.56918,5,23,8,0,0
11,406,135,33.6605,35.8229,5,5,108,108,0.551084,1.42716,4,18,7,0,0
12,508,180,27.2256,29,5,5,96,96,0.494346,1.3721,3,15,5,0,0
13,574,218,20.736,22.2472,5,5,98,98,0.311798,1.03256,3,11,4,0,0
14,588,224,16.2912,17.7418,5,5,71,71,0.1754,0.731942,3,8,3,0,0
15,514,184,12.3152,13.7606,5,5,64,64,0.099662,0.500548,2,6,2,0,0
16,400,142,9.37597,10.6938,5,5,48,48,0.0411118,0.265722,2,4,1,0,0
17,210,74,7.59559,8.83088,5,5,32,32,0.0140423,0.110335,2,3,1,0,0
18,80,31,6.10204,7.26531,5,5,15,15,0.0025104,0.0284927,2,2,1,0,0
19,16,6,5.4,6.5,5,5,9,9,0.00051,0.0059755,3,3,1,0,0
20,2,1,5,6,5,6,5,6,8.34e-05,0.0007961,5,4,1,0,0
