depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay,avgFacetsNoRay,avgNewFacetsNoRay,avgIntegerVtx
0,1,0,494,246,494,246,494,246,0.0285999,0.169258,0,494,131,325,325,94
1,2,0,428,240,394,205,462,462,0.0727515,0.243471,49,334,123,264,226,110
2,4,0,334.25,197.75,192,192,456,413,0.0875645,0.298361,56,210,98,199,138,90
3,8,0,233.125,163.625,82,82,412,412,0.121812,0.46136,34,165,78,123,92,76
4,16,0,167.312,133.25,40,40,372,372,0.150267,0.547011,38,101,60,77,49,60
5,32,0,123.312,105.125,28,28,313,313,0.199863,0.756181,30,72,45,50,31,45
6,64,0,89.6094,81.4062,14,14,279,279,0.266703,1.07768,23,53,33,32,21,33
7,128,0,61.8203,60.9062,8,8,258,258,0.328932,1.40117,16,36,23,18,12,23
8,256,0,42.1875,43.7031,4,4,216,216,0.375852,1.76694,12,23,15,10,6,15
9,486,0,29.0947,31.2119,4,4,194,194,0.409835,2.14977,8,15,10,5,3,10
10,818,0,21.4633,23.5501,4,4,173,173,0.456031,2.55758,6,11,7,3,1,7
11,1194,0,16.8384,18.8216,4,4,143,143,0.45365,2.84583,5,8,5,2,1,5
12,1530,0,14.0307,15.7771,4,4,120,120,0.426244,2.98527,4,7,4,1,0,4
13,1718,0,12.2066,13.8091,4,4,105,105,0.374949,2.87412,4,6,3,1,0,3
14,1670,0,11.0539,12.5335,4,4,98,98,0.299424,2.51829,3,5,3,0,0,3
15,1440,0,9.91181,11.3167,4,4,89,89,0.208932,1.97349,3,5,2,0,0,2
16,1048,0,8.93321,10.2834,4,4,79,79,0.123053,1.27212,3,4,2,0,0,2
17,666,0,7.90991,9.22372,4,4,45,45,0.0594508,0.703733,3,3,2,0,0,2
18,358,0,7.57542,8.81285,4,4,39,39,0.0293086,0.356634,3,3,2,0,0,2
19,168,0,6.79167,8.0119,4,4,28,28,0.0104294,0.143492,2,3,1,0,0,1
20,70,0,5.91429,7.18571,4,4,15,15,0.0032957,0.0531833,2,2,1,0,0,1
21,18,0,5,6.16667,4,4,11,11,0.0006497,0.01124,2,2,1,0,0,1
22,6,0,5.16667,6.5,4,4,8,9,0.0001771,0.0044724,2,2,1,0,0,1
