depth,nbNodes,nbInfeas,avgFacet,avgVertex,minFacet,minVertex,maxFacet,maxVertex,cpuUpdatePoly,cpuDepth,avgFeasVtx,avgNewFacets,avgVtxNoRay
0,1,0,185,91,185,91,185,91,0.0346398,0.0866394,0,185,22
1,2,0,87.5,111,53,53,122,70,0.0352342,0.0634104,10,55,12
2,4,1,41.25,124,53,41,56,56,0.013021,0.0296477,7,22,8
3,6,2,27.3333,131,17,17,56,56,0.0018381,0.0063434,6,5,6
4,8,0,21.625,160,11,11,41,41,0.0096552,0.0298013,4,11,3
5,16,3,12.5625,202,5,5,27,25,0.00625799,0.0243683,3,6,2
6,24,10,9.25,221,5,5,27,27,0.0044522,0.015465,2,2,2
7,26,11,8.11538,216,5,5,27,27,0.000544699,0.00729829,2,1,2
8,28,10,6.78571,212,9,9,11,12,0.001461,0.0115697,2,2,2
9,36,16,5.22222,212,5,5,11,12,0.0001449,0.0056138,1,0,1
10,32,8,5.1875,191,5,5,11,12,0.000681807,0.009828,2,1,1
11,16,0,5,96,5,5,5,6,0.000584096,0.0068363,2,2,1
