obj0,obj1,obj2,obj3,obj4
-1254,-627,-771,46,-868
-1185,-777,-789,1,-884
-1163,-685,-847,-40,-900
-1144,-1045,-745,-42,-993
-1140,-834,-701,-73,-900
-1136,-305,-646,-140,-784
-1103,-189,-631,-175,-746
-1079,-445,-659,-208,-749
-1073,-186,-671,-279,-802
-1030,-415,-645,-284,-857
-1028,-749,-553,-298,-1016
-1005,-655,-680,-397,-973
-1202,-804,-769,50,-908
-990,162,-601,-519,-754
-1160,-894,-763,275,-766
-1099,-1142,-578,-87,-1020
-1084,-482,-644,-136,-824
-976,-209,-515,-650,-950
-1150,-981,-767,54,-948
-1061,-801,-582,-258,-1005
-1178,-804,-716,1,-934
-1146,-1063,-798,35,-988
-1067,-455,-664,-185,-800
-943,-157,-486,-690,-961
-1108,-1071,-761,279,-806
-1111,-1033,-637,-53,-1015
-972,-603,-651,-437,-984
-857,432,-399,-763,-711
-1081,-1233,-756,-24,-1084
-953,-786,-438,-521,-1042
-831,-778,-497,-746,-1181
-1033,-914,-647,-200,-970
-948,-386,-566,-597,-964
-824,484,-370,-803,-722
-985,-978,-527,-303,-1071
-968,-780,-755,-335,-972
-1057,-1233,-703,-73,-1110
-814,203,-373,-768,-766
-1068,-1262,-611,-58,-1070
-1018,-1030,-556,-263,-1060
-966,-660,-738,-346,-915
-953,-1245,-489,-416,-1237
-813,-37,-461,-832,-856
-992,-958,-841,-287,-1046
-1031,-1059,-506,-147,-938
-911,-511,-641,-535,-963
-965,-630,-578,-437,-1034
-924,-386,-513,-646,-990
-1023,-1474,-732,-116,-1169
-1028,-1322,-857,362,-800
-905,-615,-540,-602,-1019
-1024,-926,-657,-196,-1004
-891,-334,-484,-686,-1001
-790,243,-399,-846,-781
-910,-1015,-412,-526,-1097
-878,-1282,-374,-639,-1263
-782,-64,-335,-881,-932
-839,-511,-482,-682,-1041
-1014,-1314,-466,-173,-1074
-806,-64,-388,-832,-906
-895,-1020,-684,-546,-1140
-872,-563,-511,-642,-1030
-929,-832,-625,-442,-1039
-789,-688,-554,-755,-1005
-981,-1091,-645,-196,-1010
-776,-162,-536,-770,-855
-928,-1072,-713,-506,-1129
-969,-1371,-378,-247,-1090
-981,-1410,-648,-118,-1176
-739,-293,-309,-886,-987
-729,-481,-421,-941,-1062
-772,-345,-338,-846,-976
-969,-1519,-589,-152,-1181
-957,-1155,-578,-250,-1085
-977,-1104,-363,-183,-950
-972,-1103,-655,-192,-1044
-832,-1020,-295,-640,-1124
-752,-525,-783,-822,-948
-1012,-1290,-615,-147,-1126
-716,-216,-358,-945,-931
-744,-187,-479,-877,-872
-702,-735,-444,-955,-1082
-655,-324,-458,-972,-969
-829,-792,-485,-647,-1085
-742,-621,-519,-785,-1025
-910,-1474,-463,-421,-1292
-819,-980,-597,-702,-1160
-888,-1140,-502,-456,-1159
-925,-1422,-540,-363,-1251
-888,-1047,-611,-546,-1190
-627,-408,-618,-1009,-1014
-729,-574,-312,-851,-1031
-732,-1073,-314,-767,-1144
-926,-1600,-352,-252,-1145
-726,-845,-310,-776,-1012
-803,-815,-500,-720,-1166
-726,-589,-229,-792,-1035
-788,-1007,-471,-751,-1236
-717,-1189,-223,-830,-1234
-742,-745,-392,-752,-1097
-717,-683,-521,-897,-1041
-810,-1152,-383,-649,-1178
-802,-1459,-319,-684,-1329
-593,-1116,-441,-1024,-1136
-946,-1440,-556,-167,-966
-938,-1491,-411,-218,-1140
-1097,-1063,-675,-78,-955
-767,-1157,-595,-698,-1200
