obj0,obj1,obj2
968,3919,4683
1030,4528,4265
1163,4688,3729
1350,4681,3518
1032,3544,4884
1094,4153,4466
1105,3885,4414
1167,4170,4154
1603,4304,3345
1139,4212,4353
1152,4110,4290
1167,4494,3996
1764,4959,2923
1227,4313,3930
1138,3522,4779
1169,3510,4615
1189,3249,5043
1272,4372,3817
1125,3624,4842
1285,4270,3754
1231,3795,4355
1267,4117,3994
1412,4215,3631
1231,4119,4197
1289,4076,4021
1292,3878,4203
1221,3542,4510
1416,4311,3556
1354,4163,3943
1323,3633,4202
1359,4025,4198
1384,4018,4089
1202,3147,4980
1768,4765,3190
1472,4263,3543
1385,4242,3784
1930,4905,2797
1391,4143,3820
1233,3791,4415
1244,3395,4845
1392,3835,4180
1253,3529,4483
1395,3949,4087
1397,3916,4026
1416,4021,3898
1275,3488,4510
1308,3020,5046
1777,4539,3002
1285,3167,4711
1403,3835,4160
1431,4117,3803
1420,4117,3823
1416,3697,4056
1417,3982,4022
1420,3793,3981
1454,4110,3783
1951,4952,2712
1476,4069,3810
1480,3936,3757
1449,3833,3898
1525,3995,3644
1410,3823,4189
1354,3412,4316
1297,3416,4616
1536,3995,3624
2183,4528,2624
1572,4235,3573
1420,2990,5195
1578,4136,3609
1781,4345,3269
1317,3154,4684
1645,4200,3393
1618,4110,3592
1378,3247,4669
1442,2872,4870
1358,3508,4241
1381,3361,4576
1509,3881,3810
1484,3418,4182
1667,3929,3546
1484,3742,4024
1510,3626,3991
1520,3740,3821
1828,4529,3123
1955,4758,2979
1495,3742,4004
1839,4073,3115
2246,4471,2587
1369,3508,4221
1607,4110,3612
1387,3224,4316
1685,3899,3528
1543,3983,3653
1986,4513,2978
1992,4439,2910
1638,3865,3611
1582,3818,3727
1531,3740,3801
1712,3988,3433
1569,3920,3790
1339,3113,4711
2378,4810,2196
1545,3501,4030
1582,3880,3717
1634,3769,3686
1564,3665,3967
1462,3481,4299
1564,3727,3957
2013,4486,2825
1637,3641,3916
1723,3988,3413
1460,2860,4879
1825,3858,3400
1648,3572,3914
1648,3641,3896
1548,2822,5288
1886,4223,3090
1607,3786,3770
1649,3682,3818
1556,3501,4010
1422,3133,4442
1899,4121,3027
1586,3624,3994
1619,3436,3994
1486,3414,4242
1572,3160,4104
1493,3236,4298
2173,4506,2767
1561,2643,4873
1445,2986,4777
1644,3766,3647
1680,3644,3705
1517,3152,4290
1659,3572,3894
1671,3735,3813
1713,3921,3519
1730,3976,3442
1707,3733,3610
1718,3733,3590
1754,3884,3481
1576,3256,4029
1671,3411,3971
1702,3490,3812
1467,3019,4712
1843,3879,3382
1767,3782,3418
1689,3381,3953
1497,3018,4672
1881,3968,3267
1502,3056,4385
1557,2827,4412
1749,3629,3658
1722,3517,3795
2030,4162,2829
1433,3133,4422
1749,3606,3700
1822,3605,3607
1831,3759,3436
1506,3152,4310
1453,2872,4850
1900,3914,3308
1767,3594,3709
1717,3403,3944
1756,3412,3919
1544,2929,4475
1524,3015,4412
1771,3588,3685
2005,3994,3093
1833,3605,3587
1843,3555,3540
1791,3502,3748
1833,3543,3597
1763,3249,3818
1918,3884,3290
1760,3606,3680
1804,3400,3685
1867,3754,3448
1913,3629,3467
1971,3785,3383
1903,3927,3294
1948,3755,3410
1996,3778,3274
2009,3676,3211
1599,3109,4364
1548,2895,4836
1609,3126,4231
1673,2613,5022
2225,4424,2672
1999,4093,3057
1987,3729,3415
1618,3035,4123
2034,3968,3096
1990,3743,3393
1991,3523,3451
1889,3483,3601
1680,3229,4087
2061,3627,3170
1698,2609,4604
2045,3968,3076
1704,3145,4079
1779,2568,5132
2247,4153,2825
2072,4058,2877
1719,3252,4073
2382,4616,2463
2255,4387,2607
1813,3181,4008
1951,3624,3523
1693,3145,4099
1988,3495,3510
2076,3864,3144
1804,3372,3782
2265,4123,2807
2094,3787,3030
1907,3453,3583
2009,3598,3396
1634,2984,4403
1570,2777,4511
2327,3772,2792
1935,3475,3574
1640,2881,4230
2531,5176,1991
1828,3288,3774
1955,3502,3557
1845,2844,4001
1817,3350,3784
1828,3350,3764
1859,3195,3971
1801,2518,4663
2340,4233,2783
1868,3377,3703
1941,3376,3610
2345,3742,2774
2112,3757,3012
1870,3161,3864
2351,4233,2763
2018,3507,3288
1827,2874,4019
1885,3373,3744
2360,4333,2736
1922,3366,3715
2139,3846,2917
1937,3324,3703
1914,3341,3773
2004,3343,3573
2013,3252,3465
1663,2734,4565
2364,4071,2695
2440,4344,2309
2000,3260,3699
1801,2445,5115
1975,3267,3808
2408,4753,2402
1952,3237,3835
1660,2908,4213
1917,3111,3892
2377,3969,2632
1733,2961,4188
1956,3182,3857
1994,3225,3818
2034,3644,3254
2283,4089,2854
1692,2695,4786
1744,2961,4168
2013,3158,3636
2011,3008,3855
2150,3846,2897
2070,3337,3435
2134,3591,3094
2235,4040,2880
2107,3502,3189
1920,2987,3922
2122,3468,3363
2252,3716,2884
1797,2586,4389
1684,2613,5002
1995,3005,3876
2382,4292,2621
1729,2865,4263
2128,3369,3399
1581,2777,4491
1742,2763,4200
2055,3125,3555
1798,2568,4852
1916,2357,4392
1751,2949,4197
1766,2679,4192
2157,3834,2926
1931,2987,3902
2593,4710,2104
2145,3591,3074
2140,3438,3345
2444,4150,2576
2181,3742,2965
2170,3429,3303
2055,3097,3652
2194,3640,2902
1755,2756,4564
2152,3384,3383
2173,3431,3298
1709,2609,4584
2498,4108,2569
2176,3487,3142
2212,3325,3351
2070,3010,3784
2530,4260,2532
2198,3446,3169
2191,3349,3413
2826,4695,1866
2218,3332,3329
2098,3269,3455
2202,3349,3393
1920,2954,3977
2116,3239,3437
2198,3259,3402
2231,3230,3266
2260,3401,3081
2597,4049,2468
1812,2445,5095
1931,2954,3957
2102,3075,3722
1826,2515,4605
2017,2964,3903
2258,3617,2920
2673,4329,2071
2444,3826,2734
2600,4364,2251
2246,3143,3398
1938,2942,3986
2107,2980,3711
2080,2891,3806
2480,4138,2587
2255,3146,3258
2294,3612,2932
2039,2725,3980
2041,2839,3969
2302,3604,3056
2053,2881,3945
1852,2732,4191
1929,2350,4756
1875,2715,4121
2331,3578,3059
2071,2894,3907
2111,2984,3614
2028,2327,4541
2340,3487,2951
2572,4056,2577
2477,3941,2662
2334,3311,3067
2065,3109,3595
2753,4730,2046
2630,4307,2457
2316,3341,3085
2592,3794,2645
2654,4286,2358
1965,2752,4078
2039,2293,4434
2436,3456,2880
2591,4014,2587
2445,3365,2772
2186,3094,3590
2197,3094,3570
2662,3898,2364
1993,2488,4070
2264,2883,3506
2107,2927,3799
2126,2950,3788
1808,2552,4282
2633,3784,2574
2144,2920,3770
2065,2755,3961
2122,2764,3896
2331,3254,3217
2165,2959,3763
2288,3082,3414
2211,2951,3736
2615,4037,2477
2056,2281,4751
2409,3421,3043
2628,3529,2751
2149,2853,3801
2235,2712,3691
3014,5114,1668
2655,3763,2521
1812,2518,4643
2420,3421,3023
2147,2275,5015
2222,2814,3754
2118,2980,3691
2156,2159,4634
2637,3773,2619
2250,2949,3665
2430,3421,2999
2156,2841,3792
2646,3752,2638
2349,3224,3199
2160,2853,3781
1984,2579,4178
2677,4135,2338
2255,2974,3614
2370,3263,3192
2150,2688,3866
2322,2987,3479
2655,3743,2601
2298,3094,3357
2427,3409,3052
2431,3201,3057
2697,3659,2569
2440,3110,2949
2745,4295,2172
2344,2969,3376
2259,2628,3683
2206,2817,3851
2787,4191,2220
2392,3113,3349
2407,3098,3298
2107,2628,4051
2743,3646,2685
2425,3068,3280
2756,3614,2749
2813,3568,2642
2320,2823,3510
2338,2793,3492
2830,4034,2230
2438,2866,3339
2187,2654,3993
2677,3811,2496
2805,4041,2339
2946,4682,2038
2970,4520,1950
2346,2903,3471
2467,3039,3266
2466,3084,3249
2753,3655,2577
2825,3779,2407
2196,2563,3885
2413,2903,3468
2424,2903,3448
2834,3516,2655
2549,3326,2847
2473,3046,3244
2482,2955,3136
2429,2957,3447
2809,3523,2764
2819,3603,2523
2852,3504,2664
2815,4264,2159
2824,3999,2349
3141,4964,1610
2868,3306,2693
2555,3227,2883
2285,2120,4459
2895,3883,2126
1997,2420,4344
2848,4022,2239
2915,3743,2507
