obj0,obj1,obj2,obj3
1332,3044,2350,3222
1570,3335,1725,3196
1694,2746,2556,2564
1455,2783,2247,3532
1643,3025,1578,3446
1658,2668,1967,3584
1384,3138,2188,3222
1757,2541,2524,3095
1762,3221,2996,2237
1504,2812,1965,3546
1746,2840,2394,2564
1791,2491,2725,2916
1810,2371,2705,3092
1756,3296,1676,2729
1830,2231,2377,3345
1814,3315,2834,2237
1885,2960,2893,2547
1932,3037,1931,2538
2122,3040,1808,2191
1809,2491,2536,2817
1619,3072,2141,3433
2049,3249,2787,2448
1809,2635,2362,3095
2067,3249,2598,2349
1637,3072,1952,3334
1880,2136,2595,3127
1846,2910,1298,3498
1879,3035,1573,3039
2005,2727,1784,2788
1891,2605,2251,2927
2172,2073,2911,2434
2143,3089,1962,2110
1817,2485,2453,2874
1828,2371,2516,2993
2069,3529,2450,2271
1945,2783,1855,3009
2178,2284,3011,2297
1899,2016,2575,3303
2240,2548,3351,2107
2246,2759,3451,1970
2258,2548,3162,2008
2121,3623,2288,2271
1929,2165,2313,3141
1954,2400,2219,3458
1757,2746,1729,3658
1948,2045,2293,3317
2012,2520,2082,3147
2215,2743,2051,2423
2259,3532,2327,1924
1691,3446,1642,3256
2224,2167,2749,2434
1981,2774,2347,2775
2235,1868,2879,2965
2230,2378,2849,2297
1742,3103,1340,3520
2303,2640,2110,2659
2018,2473,1708,3259
2553,3067,2905,2004
1994,2520,2271,3246
1760,3338,1602,2849
2384,2433,3039,2195
2169,3016,1678,2689
2264,2759,3262,1871
2185,2835,1776,2722
2266,2828,1859,2420
2302,2760,1941,2384
2033,2868,2185,2775
2033,2116,2097,3397
2304,2388,1921,2634
2054,2464,2200,3025
2253,1868,2690,2866
2206,2884,1930,2641
2416,2575,2386,2271
1807,3314,1472,3347
2053,3148,1848,2598
2279,2574,1783,2891
2547,2856,2805,2141
2321,2640,1921,2560
2571,3067,2716,1905
2565,2856,2616,2042
2258,2525,1629,2972
1877,3407,1593,2789
2350,2052,2626,2621
2068,2378,1926,3041
2280,3581,2481,1843
2242,2706,1531,2939
1881,3449,1519,2909
2369,1932,2606,2797
2379,1753,2567,3053
2135,2679,1970,3027
2392,2285,1980,2870
2592,2663,2731,2155
2129,2896,1626,2901
2274,1464,2705,3116
2142,2642,1550,3372
2602,2536,2337,1804
2335,2404,3321,2181
2156,2275,1985,3277
2243,3151,1725,2251
2479,2381,2365,2468
2082,2920,1293,3091
1883,3077,1499,3159
2066,2894,1772,3069
1894,3331,1362,3308
2468,1917,2136,2893
2295,1812,2808,2744
2167,2456,1688,3115
1928,3064,1291,3053
2429,2321,2310,2742
2221,2358,1428,3311
2398,1633,2547,3229
2737,2859,2682,1794
2290,3127,1595,2749
2157,2285,1939,3510
2245,2779,1705,2501
2537,2686,2303,2331
2567,1995,1898,2967
2311,3626,2165,1924
2739,3028,2856,1537
2586,2452,2631,2292
2329,2193,3221,2318
2315,2857,1577,2434
2669,2384,2242,2121
2043,3324,1467,2940
2130,3341,1357,2901
2301,2023,2908,2607
2219,2785,1977,2543
2725,2275,2234,2114
2489,2265,2239,2521
2255,2353,1747,3351
2606,2578,2263,1924
2441,2314,1698,2884
2319,2899,1503,2554
2567,3609,2272,2054
2259,2079,2790,2729
2182,2762,1602,3160
2531,2475,2203,2468
2510,2127,2100,2840
2721,2478,2080,2121
2585,3609,2083,1955
2665,2331,2305,2335
2690,2433,2396,2040
2704,1927,2131,2486
2723,2647,2254,1864
2792,2123,2139,2431
2813,2172,2293,2350
2727,2689,2180,1984
2552,2071,2218,2718
2803,2005,1893,2560
2841,2141,1846,2779
2531,1723,2115,3090
2353,2417,1639,2648
2280,1675,2805,2979
2588,2343,2001,2595
2342,2524,1874,2853
2482,2758,1452,2652
2264,3200,1879,2170
2332,3675,2319,1843
2409,3068,1599,2402
2669,2373,2231,2455
2598,3654,1956,2135
2774,2304,1952,2128
2516,2338,2200,2703
2551,3228,1670,2381
2306,2946,1693,2782
2743,3070,2782,1657
1932,3106,1217,3173
2792,1824,2190,2722
2602,2885,1368,2645
2366,2875,1373,3052
2676,2240,2060,2831
2771,2228,2175,2472
2530,3179,1516,2462
2757,3028,2667,1438
2778,2346,1878,2248
2378,2652,1545,2965
2269,2779,1492,3121
2345,2527,1270,3424
2776,2908,2647,1614
2758,2908,2836,1713
2391,2553,1592,2867
2789,2953,2520,1794
2742,2063,2084,2705
2655,1892,1957,3203
2543,2925,1440,2933
2795,3164,2620,1657
2877,2702,2444,1762
2784,2273,2048,2652
2581,2537,1265,3017
2430,3117,1753,2321
2482,2459,1503,2943
2729,2317,2160,2234
2382,2694,1471,3085
2828,2673,2726,1748
2606,2927,1294,2765
2422,2814,1523,2873
2495,2504,1376,3123
2503,2807,1606,2571
2891,1902,1952,2796
2181,2998,1055,3165
1945,2988,1060,3572
2805,1869,2063,2902
2862,2201,2011,2364
2742,2527,2234,2040
2120,3056,1246,3310
2866,2243,1937,2484
2619,2673,1218,3236
2219,3134,1008,3384
