obj0,obj1,obj2
1005,5557,3760
1065,5297,3438
1090,5081,3934
1098,5067,3933
1129,4840,4162
1150,4821,3612
1189,4580,3840
1214,4364,4336
1222,4350,4335
1274,4104,4014
1369,3993,4373
1377,3979,4372
1456,3771,4125
1464,3757,4124
1559,3711,3859
1566,3588,4558
1653,3366,4310
1208,5046,3318
1241,4816,3813
1293,4570,3492
1332,4488,3723
1273,5126,3199
1340,4474,3722
1371,4247,3951
1247,4964,3549
1683,3359,4296
1721,3217,4595
1383,4379,3750
1468,3903,3924
1359,5487,3005
1304,4729,3388
1474,4187,3685
1808,2995,4347
1628,3707,4422
1409,4535,3661
1377,5431,3079
1435,4428,3457
1350,4904,3283
1416,4875,3079
1479,4062,3820
1405,4951,3238
1358,4650,3373
1478,4343,3613
1533,3818,4063
1447,4478,3268
1502,5236,2885
1654,3600,4218
1533,3983,3805
1486,4329,3612
1578,4177,3337
1486,4396,3499
1540,4317,3484
1617,4095,3568
1548,4303,3483
1552,4284,3541
1494,4394,3570
1662,3586,4217
1674,3689,3962
1949,2866,4246
1715,3650,3916
1622,3811,3700
1493,4653,3163
1715,3485,4174
1520,5180,2959
1501,4399,3253
1794,3237,4209
1490,4475,3412
1558,4733,3044
1723,3636,3915
1644,5094,2850
1727,3617,3973
1625,4081,3567
1741,3378,3970
1648,3967,3611
1598,4919,2955
1699,5141,2805
1512,4558,3149
1693,4155,3440
2022,2852,4966
1732,4085,3113
2071,2841,4499
1676,3732,3685
1668,3986,3595
2109,2837,4040
1764,5176,2737
2109,2630,4718
1687,3891,3581
1733,4066,3476
1753,3510,3769
1589,4336,3233
1754,3977,3010
1749,3364,3969
1605,4704,3133
1643,4257,3218
1655,4307,3029
1613,4780,2999
1644,4383,3188
1700,3878,3673
1662,5038,2924
1764,3669,3665
1789,3838,3510
1763,3950,3458
1785,5261,2664
1699,4900,2858
1823,3300,4043
1659,4703,2988
1771,3936,3457
1791,3716,3491
1694,4225,3260
1701,4482,2924
1824,3230,4195
1847,3165,4220
1864,3471,3871
1818,3590,3650
1912,3245,4101
1883,3442,3967
1741,4668,2835
1907,3418,3545
2063,2855,4500
1793,3895,3241
1787,4843,2730
1850,5537,2543
1724,4783,2869
1877,3158,4206
1698,4304,3173
1946,3336,3776
1830,3640,3461
1801,3881,3240
1942,3238,4087
1869,3558,3692
1964,3171,3942
1856,5406,2556
1892,3541,3706
1856,3796,3372
2139,2623,4704
1966,3049,3923
1810,5144,2675
2158,2619,4251
2177,2481,5003
1907,4925,2617
1932,3587,3390
1759,4612,2909
2000,3257,3761
1797,4165,2994
1876,3815,3356
1805,4787,2804
1840,4338,2816
2150,2633,4252
1947,3803,3017
1961,3339,3530
1931,5116,2554
1993,5286,2423
1867,4532,2749
1997,3667,3271
1968,2966,4141
1990,3800,3161
2008,3243,3760
1908,3885,2786
2031,3129,3804
1972,3498,3426
1852,4212,2949
1907,4872,2725
2076,3317,3633
1953,4893,2555
1988,3036,4119
1971,4837,2629
1984,4507,2703
2115,3247,3306
2018,3029,4105
2038,2959,4138
2055,2994,3981
2262,2576,4678
1999,3545,3252
1858,4282,2890
2067,2874,4138
2264,2259,4755
1985,3485,3518
1998,3786,3160
2147,3224,3800
2149,3078,3716
2038,3463,3483
1898,4135,2938
2085,2987,3967
1984,4748,2650
2107,2920,3822
2086,3760,3163
1993,5233,2531
2073,3468,3370
1883,4526,2800
2108,3724,3183
1999,5155,2436
2154,3165,3537
1984,4703,2701
2113,3665,3240
1994,4246,2592
2116,3710,3182
2135,5144,2388
2070,4868,2509
2140,3416,3151
2091,3775,3071
2138,3548,3251
2162,2765,4051
2144,3708,2937
2172,3000,3703
2160,4503,2374
2279,2564,4451
2174,2878,3684
2049,4783,2582
2136,4982,2411
2202,3150,3523
2190,5191,2343
