obj0,obj1,obj2
19284,27089,28671
19320,27053,28698
19353,27019,28733
19356,27017,28725
19389,26983,28760
19392,26981,28752
19422,26949,28795
19425,26947,28787
19428,26945,28779
19458,26913,28822
19461,26911,28814
19464,26909,28806
19491,26879,28857
19494,26877,28849
19497,26875,28841
19500,26873,28833
19527,26843,28884
19530,26841,28876
19533,26839,28868
19536,26837,28860
19560,26809,28919
19563,26807,28911
19566,26805,28903
19569,26803,28895
19572,26801,28887
19596,26773,28946
19599,26771,28938
19602,26769,28930
19605,26767,28922
19608,26765,28914
19629,26739,28981
19632,26737,28973
19635,26735,28965
19638,26733,28957
19641,26731,28949
19644,26729,28941
19665,26703,29008
19668,26701,29000
19671,26699,28992
19674,26697,28984
19677,26695,28976
19680,26693,28968
19698,26669,29043
19701,26667,29035
19704,26665,29027
19707,26663,29019
19710,26661,29011
19713,26659,29003
19716,26657,28995
19734,26633,29070
19737,26631,29062
19740,26629,29054
19743,26627,29046
19746,26625,29038
19749,26623,29030
19752,26621,29022
19767,26599,29105
19770,26597,29097
19773,26595,29089
19776,26593,29081
19779,26591,29073
19782,26589,29065
19785,26587,29057
19788,26585,29049
19803,26563,29132
19806,26561,29124
19809,26559,29116
19812,26557,29108
19815,26555,29100
19818,26553,29092
19821,26551,29084
19824,26549,29076
19836,26529,29167
19839,26527,29159
19842,26525,29151
19845,26523,29143
19848,26521,29135
19851,26519,29127
19854,26517,29119
19857,26515,29111
19860,26513,29103
19872,26493,29194
19875,26491,29186
19878,26489,29178
19881,26487,29170
19884,26485,29162
19887,26483,29154
19890,26481,29146
19893,26479,29138
19896,26477,29130
19905,26459,29229
19908,26457,29221
19911,26455,29213
19914,26453,29205
19917,26451,29197
19920,26449,29189
19923,26447,29181
19926,26445,29173
19929,26443,29165
19932,26441,29157
19941,26423,29256
19944,26421,29248
19947,26419,29240
19950,26417,29232
19953,26415,29224
19956,26413,29216
19959,26411,29208
19962,26409,29200
19965,26407,29192
19968,26405,29184
19974,26389,29291
19977,26387,29283
19980,26385,29275
19983,26383,29267
19986,26381,29259
19989,26379,29251
19992,26377,29243
19995,26375,29235
19998,26373,29227
20001,26371,29219
20004,26369,29211
20010,26353,29318
20013,26351,29310
20016,26349,29302
20019,26347,29294
20022,26345,29286
20025,26343,29278
20028,26341,29270
20031,26339,29262
20034,26337,29254
20037,26335,29246
20040,26333,29238
20043,26319,29353
20046,26317,29345
20049,26315,29337
20052,26313,29329
20055,26311,29321
20058,26309,29313
20061,26307,29305
