obj0,obj1,obj2,obj3,obj4
-863,-543,339,-569,-721
-831,-536,320,-345,-662
-808,-460,225,-502,-614
-795,-410,155,-660,-450
-789,-412,144,-474,-520
-783,-322,-93,-461,-275
-751,-299,-175,-353,-174
-703,-217,-191,-450,42
-692,-206,-231,-353,-52
-781,-375,103,-543,-332
-750,-416,79,-369,-443
-746,-409,46,-326,-365
-776,-437,143,-394,-513
-753,-377,111,-435,-507
-671,-182,-329,-355,84
-744,-325,-73,-539,-417
-730,-290,-125,-422,-299
-689,-242,-187,-472,-310
-670,-179,-416,-377,45
-665,-334,-231,-81,-400
-694,-257,-149,-381,-183
-657,-208,-410,-194,-49
-732,-406,-1,-413,-486
-708,-290,-106,-500,-404
-649,-170,-366,-446,-80
-766,-337,-36,-448,-253
-755,-428,193,-463,-638
-642,-274,-263,-122,-394
-670,-333,-108,-405,-416
-736,-380,112,-435,-544
-691,-293,-105,-500,-441
-698,-424,57,-400,-501
-680,-387,48,-330,-504
-678,-425,104,-258,-536
-680,-372,-92,-176,-479
-677,-325,90,-400,-553
-726,-460,147,-432,-601
-648,-357,44,-369,-516
-619,-262,-271,-269,-221
-645,-392,25,-361,-525
-611,-139,-290,-409,-225
-631,-336,-88,-483,-558
-700,-385,122,-359,-559
-644,-400,47,-310,-560
-727,-340,-16,-526,-395
-718,-393,-3,-261,-342
-696,-373,-25,-372,-370
-598,-372,-170,-106,-466
-691,-370,-48,-332,-108
-676,-423,129,-418,-661
-604,-187,-301,-325,-233
-684,-337,-114,-378,-240
-695,-317,-98,-418,-294
-667,-405,125,-397,-610
-791,-463,226,-502,-651
-617,-368,107,-383,-670
-589,-213,-349,-429,-197
-605,-418,45,-464,-577
-733,-431,136,-356,-421
-730,-459,195,-495,-543
-715,-421,56,-400,-464
-686,-388,-32,-406,-371
-578,-341,-229,-293,-491
-576,-269,-287,-1,-308
-802,-437,235,-506,-599
-804,-513,275,-416,-428
-603,-331,72,-340,-582
-698,-436,113,-387,-442
-648,-349,-174,-68,-378
-596,-334,106,-344,-607
-568,-348,26,-275,-606
-574,-443,94,-310,-590
-663,-387,-35,-163,-457
-604,-388,-110,-336,-358
-651,-431,58,-286,-408
-693,-421,34,-360,-239
-532,-351,-109,-400,-523
-633,-421,-22,-330,-451
-662,-234,-231,-273,-82
-556,-467,-4,-313,-605
-571,-436,103,-451,-592
-681,-439,114,-387,-479
-783,-491,227,-534,-519
-646,-451,129,-338,-691
-626,-459,95,-385,-305
-745,-340,70,-504,-319
-553,-209,-319,-42,-302
-570,-404,-42,46,-285
-559,-207,-308,-228,-232
-655,-261,-214,-276,-106
-473,-367,-114,-121,-530
-616,-436,35,-317,-429
-781,-543,261,-499,-708
-713,-503,218,-234,-533
-451,-347,-136,-232,-558
-513,-355,-71,-277,-572
-711,-254,-150,-381,-146
-543,-289,-284,-39,-359
-709,-475,204,-419,-579
-650,-408,126,-397,-647
-653,-209,-211,-431,-194
-530,-389,-44,-318,-384
-516,-399,-52,-177,-419
-563,-510,51,1,-687
-599,-439,36,-317,-466
-640,-223,-353,-181,-27
-663,-466,200,-220,-593
-738,-431,194,-463,-675
-660,-501,159,-531,-684
-505,-389,-117,-421,-464
-596,-425,26,-188,-523
-484,-399,-61,-233,-476
-594,-452,76,-161,-246
-561,-459,-31,29,-556
-446,-279,-160,-347,-570
