obj0,obj1,obj2
-634,-132,-270
-615,-263,-255
-626,-25,-333
-580,-275,-128
-577,-360,-465
-608,-246,-433
-450,-362,-431
-429,-371,-422
-405,-397,-437
-544,-232,-478
-385,-426,-306
-534,-186,-492
-504,-203,-498
-480,-229,-513
-322,-461,-335
-452,-239,-538
-493,-261,-474
-488,-241,-497
-425,-266,-540
-401,-292,-555
-478,-279,-474
-475,-293,-499
-378,-400,-418
-377,-412,-332
-448,-296,-480
-409,-340,-495
-330,-415,-513
-427,-242,-509
-337,-378,-482
-308,-423,-402
-284,-472,-225
-301,-451,-405
-314,-348,-542
-302,-211,-564
