obj0,obj1,obj2,obj3
1729,3701,3853,3175
1826,3535,3744,3257
1854,3541,3505,3688
1874,4187,3266,2527
1951,3375,3396,3770
1864,3213,3702,3512
1971,4021,3157,2609
1957,3565,3278,3658
1999,4027,2918,3040
2038,3771,3155,2945
1961,3047,3593,3594
2082,3405,2930,4171
2096,3861,2809,3122
2168,3024,3873,3326
2076,3726,3188,2953
2254,2718,3539,3381
2092,3077,3127,3995
2131,4123,2731,3091
2256,3963,2383,3604
2266,3635,2580,3428
2282,2646,3561,3431
2293,2864,3525,3839
2307,2980,3475,2988
2317,2691,3326,3839
2239,3324,3076,4017
2303,2536,3722,3663
2309,3500,2916,3096
2428,3338,2812,3565
2373,2945,2986,3327
2347,3070,3115,3527
2327,2363,3523,3663
2454,3597,2778,2971
2463,3533,2695,3700
2448,2721,2860,4240
2011,3460,3651,3534
2413,3882,2529,3450
2479,3274,2687,3402
2396,2888,3298,3809
2602,3896,2265,2998
2135,3605,3046,3027
2010,3569,3712,2507
2469,3602,2490,3578
2551,3431,2669,3053
2212,3666,3025,3014
2409,2614,3388,4388
2611,3464,2552,3121
2253,3780,2955,2968
2108,3294,3542,3616
2173,3560,3079,3035
2200,3474,3387,3082
2491,3249,2779,3272
2119,3206,3690,3044
2612,3568,2462,2822
2238,3433,3137,2990
2419,2286,3585,4212
2537,2975,2790,4102
2289,3365,3295,2927
2292,3328,3510,2866
2612,3312,2299,4249
2145,3081,3561,2844
2444,2545,3475,3575
2297,3308,3278,3164
2626,3768,2178,3200
2458,2393,3057,4064
2597,3008,2673,4170
2251,3410,3262,2919
2447,2214,3607,4262
2309,3111,3365,3619
2622,3279,2313,3673
2622,2984,2496,4073
2760,4001,2074,4163
2693,2041,3559,3532
2632,2951,2510,3497
2687,2897,2722,3977
2623,3635,2269,4182
2482,2582,2964,3864
2550,2316,3119,4613
2724,2874,2572,4046
2752,2802,2594,4096
2416,2617,3453,3525
2578,2244,3141,4663
2540,2644,2922,4789
2786,3870,1752,3682
2711,3533,2243,3535
2491,2954,2962,3672
2520,3192,2935,3349
2794,2654,2742,3634
2714,3202,2375,4222
2771,3566,2126,3603
2607,2680,2870,3994
2510,2510,2986,3914
2749,3133,2462,3409
2739,2261,2916,3396
2741,2057,3532,4255
2861,3455,2175,3410
2848,1898,2894,3933
2779,3198,2459,3519
2721,1969,3581,3582
2611,2353,3721,3705
2911,3106,2341,3660
2765,2219,3467,3606
2868,2593,2862,3674
2348,3244,3153,3001
2673,2296,3405,3057
2869,2779,2524,3271
2554,3100,2801,3740
2968,2917,2378,3467
2888,2548,2729,3326
2958,3245,2181,3643
2782,1933,3383,3594
2886,2577,2804,4183
2348,2956,3868,2753
2897,2707,2546,3321
2796,3542,1949,3506
2781,3238,2323,3427
2476,2650,3336,3593
2358,2631,3784,3068
2886,2508,2865,3418
2087,3826,3373,2501
2589,3031,2888,2927
2477,4056,2613,2485
2825,2085,3197,4280
2903,2291,2720,4171
2908,2925,2510,3729
2711,2332,3142,3573
2918,2597,2707,3553
2746,1865,3570,4042
2914,3175,2325,3338
2501,2921,2976,3096
2970,2571,2610,3632
2968,3212,2195,3067
2978,2884,2392,2891
2556,2867,3188,3576
2474,2610,3472,3685
2989,2951,2199,4251
2993,3440,2064,3778
2999,2623,2396,4075
2576,2820,3293,3236
2471,3866,2731,2597
2156,3946,3064,2886
2344,3762,2838,3065
2483,2468,3717,3090
2586,2495,3209,3551
2467,3422,2978,3272
2456,3588,2853,3425
2765,2246,3439,4055
2994,3392,2177,3321
2586,3693,2591,3022
2629,2829,2913,3886
3067,2882,2159,4180
2592,2700,3020,3614
2438,2848,3636,3051
2831,2184,2978,3945
2184,3660,3264,2583
2386,3199,3186,3009
3071,3208,1915,4142
2997,2185,2707,3863
