obj0,obj1,obj2,obj3
-311,121,-366,-253
-280,-59,-284,-243
-268,-69,-287,-108
-256,-147,-208,-315
-246,-219,-123,-116
-237,-249,-205,-98
-230,-368,-52,-110
-275,5,-322,-271
-239,-111,-278,-289
-241,-155,-161,-144
-263,-23,-354,-217
-278,147,-379,-217
-232,-185,-243,-126
-221,-80,-403,-171
-264,72,-274,-276
-247,-33,-297,-207
-255,42,-356,-258
-230,3,-367,-181
-212,-119,-285,-313
-211,-149,-253,-225
-242,-219,-63,-241
-221,-262,-188,-221
-199,-177,-285,-171
-206,-85,-291,-253
-194,-113,-323,-199
-206,31,-408,-159
-220,-263,-164,-333
-216,-213,-215,-197
-214,-307,-161,-258
-194,3,-440,-105
-203,-227,-234,-307
-185,-196,-359,-189
-259,-5,-265,-261
-180,-255,-281,-151
-233,-249,-145,-223
-231,-46,-280,-330
-196,-301,-199,-144
-208,-273,-167,-198
-170,-85,-364,-177
-213,-337,-129,-170
-180,-213,-288,-121
-175,-265,-209,-243
-158,-113,-396,-123
-149,-312,-315,-207
-158,3,-513,-29
-166,-348,-245,-233
-229,-155,-215,-339
-145,-120,-382,-63
-122,-113,-469,-47
-113,-312,-388,-131
-237,-155,-101,-269
-134,-201,-320,-195
-160,-301,-272,-68
-180,-329,-171,-215
-122,-229,-352,-141
-228,-185,-183,-251
-217,-121,-175,-389
-212,-379,38,11
-113,-168,-395,-41
-198,-345,-82,1
-71,-209,-400,-143
-197,-365,-101,-241
-32,-207,-423,-31
-254,59,-303,-289
-199,-409,16,-96
-223,-121,-221,-279
-98,-201,-393,-119
-217,-165,-218,-204
-151,-356,-198,-62
-248,-3,-329,-295
-133,-317,-251,-111
-97,-317,-324,-35
-236,-110,-242,-302
-26,-173,-429,29
-94,-320,-281,-85
-182,-373,-54,-70
-179,23,-415,-183
-212,-3,-402,-219
-209,-332,-62,-209
-6,-230,-457,42
-135,-384,-170,-133
-219,-74,-312,-276
150,-120,-426,-113
-152,-420,-100,-159
55,-243,-428,24
-185,191,-385,-252
-215,23,-342,-259
-201,-271,-57,-287
-149,75,-341,-270
-195,-162,-236,-348
-192,-301,-139,-269
-227,51,-310,-313
-113,75,-414,-194
-183,-190,-268,-294
-111,-46,-421,-52
-71,-65,-407,-53
-5,-13,-406,-64
-183,-74,-385,-200
-176,-119,-358,-237
57,-164,-420,-78
-1,-56,-405,-86
-182,-345,-76,-319
-176,-235,-241,-331
-158,-229,-279,-217
-242,31,-335,-235
-179,-93,-298,-277
-170,-201,-247,-271
-50,-85,-505,101
-198,-129,-68,-343
-143,-93,-371,-201
-220,21,-232,-335
-193,-271,-171,-357
-209,-196,-116,-338
-94,-100,-399,-51
-181,-281,-174,-222
-140,-235,-314,-255
-147,-190,-341,-218
-104,-235,-387,-179
46,-145,-465,177
-146,-173,-288,-249
-191,-65,-266,-331
-77,-41,-370,-212
-178,-373,6,-195
9,-210,-432,-36
-151,-237,-250,-221
54,-174,-461,136
-184,-95,-188,-353
1,-181,-436,5
-187,-237,-177,-297
-187,-15,-290,-278
-113,-41,-297,-288
46,-124,-473,284
-181,-109,-203,-381
-107,-209,-327,-219
73,-153,-472,153
-218,-57,-259,-307
-143,-209,-254,-295
-5,-157,-399,-154
-155,-181,-222,-349
-41,-157,-326,-230
-119,-181,-295,-273
87,-148,-474,172
42,-184,-445,0
180,-104,-480,137
36,-144,-322,-232
-172,-217,-152,-375
-150,-353,-181,-137
67,-129,-435,-6
135,-140,-451,-35
-160,-245,-184,-321
-177,-281,-114,-347
-145,-348,10,-277
-124,-245,-257,-245
-110,-236,-221,-267
-49,-248,-182,-250
-35,-65,-480,23
-147,-356,-138,-187
-115,-300,-183,-239
-148,-326,-170,-275
-58,-193,-256,-256
-77,-157,-253,-306
-200,-226,-198,-320
139,-101,-471,142
-165,-309,-146,-293
0,-144,-249,-308
-182,-173,-215,-325
-145,-225,-159,-399
-84,-237,-120,-382
-131,-314,-110,-287
-161,-150,-104,-380
-104,-321,-107,-276
-94,-193,-183,-332
-84,-190,-188,-342
-36,-144,-176,-384
