obj0,obj1,obj2
24161,30842,24386
24176,30966,24362
24191,31090,24338
24206,31214,24314
24221,31338,24290
24236,31462,24266
24251,31586,24242
24266,31710,24218
24281,31834,24194
24296,31958,24170
24311,32082,24146
24326,32206,24122
24341,32330,24098
24356,32454,24074
24371,32578,24050
24386,32702,24026
24401,32826,24002
24412,30074,23542
24427,30198,23518
24442,30322,23494
24457,30446,23470
24472,30570,23446
24487,30694,23422
24502,30818,23398
24517,30942,23374
24532,31066,23350
24547,31190,23326
24562,31314,23302
24577,31438,23278
24592,31562,23254
24607,31686,23230
24622,31810,23206
24637,31934,23182
24652,32058,23158
24667,32182,23134
24682,32306,23110
24697,32430,23086
24712,32554,23062
24727,32678,23038
24742,32802,23014
24757,32926,22990
24772,33050,22966
24787,33174,22942
24802,33298,22918
24817,33422,22894
24832,33546,22870
24847,33670,22846
24862,33794,22822
24877,33918,22798
24892,34042,22774
24907,34166,22750
24922,34290,22726
24937,34414,22702
24952,34538,22678
24967,34662,22654
24982,34786,22630
24997,34910,22606
25012,35034,22582
25027,34600,22445
25104,34686,22438
25122,34694,22388
25199,34780,22381
25217,34788,22331
25294,34874,22324
25312,34882,22274
25389,34968,22267
25407,34976,22217
25484,35062,22210
25502,35070,22160
25579,35156,22153
25597,35164,22103
25674,35250,22096
25692,35258,22046
25769,35344,22039
25787,35352,21989
25864,35438,21982
25882,35446,21932
25959,35532,21925
25977,35540,21875
26029,31819,20839
26044,31943,20815
26059,32067,20791
26074,32191,20767
26089,32315,20743
26104,32439,20719
26119,32563,20695
26134,32687,20671
26149,32811,20647
26164,32935,20623
26179,33059,20599
26194,33183,20575
26209,33307,20551
26224,33431,20527
26239,33555,20503
26254,33679,20479
26269,33803,20455
26284,33927,20431
26299,34051,20407
26314,34175,20383
26329,34299,20359
26344,34423,20335
26359,34547,20311
26374,34671,20287
26389,34795,20263
26404,34919,20239
26419,35043,20215
26434,35167,20191
26449,35291,20167
26464,35415,20143
26479,35539,20119
26494,35663,20095
26509,35787,20071
26524,35911,20047
26539,36035,20023
26554,36159,19999
26569,36283,19975
26584,36407,19951
26599,36531,19927
26614,36655,19903
26629,36779,19879
26644,36345,19742
26739,36439,19685
26834,36533,19628
26929,36627,19571
27024,36721,19514
27119,36815,19457
27214,36909,19400
27290,34966,19389
27305,35090,19365
27309,37003,19343
27320,35214,19341
27335,35338,19317
27350,35462,19293
27365,35586,19269
27380,35710,19245
27395,35834,19221
27410,35958,19197
27425,36082,19173
27440,36206,19149
27455,36330,19125
27470,36454,19101
27485,36578,19077
27500,36702,19053
27515,36826,19029
27530,36950,19005
27545,37074,18981
27560,37198,18957
27575,37322,18933
25767,29779,31587
27590,37446,18909
27605,37012,18772
27682,37098,18765
27759,37184,18758
27836,37270,18751
27913,37356,18744
27990,37442,18737
26363,29767,24567
28067,37528,18730
26421,29709,24628
28144,37614,18723
28221,37700,18716
28298,37786,18709
28375,37872,18702
28449,38131,18659
26479,29651,24689
28544,38225,18602
26537,29593,24750
26595,29535,24811
28607,34231,17166
26653,29477,24872
26678,29152,30240
27001,29129,25238
27059,29071,25299
27117,29013,25360
27175,28955,25421
27233,28897,25482
27291,28839,25543
27349,28781,25604
27407,28723,25665
27465,28665,25726
27523,28607,25787
27581,28549,25848
27639,28491,25909
27697,28433,25970
27755,28375,26031
27799,27785,26287
28050,27017,25443
28622,34355,17142
28637,34479,17118
28652,34603,17094
28667,34727,17070
28682,34851,17046
28697,34975,17022
28712,35099,16998
28727,35223,16974
28742,35347,16950
28757,35471,16926
28772,35595,16902
28787,35719,16878
28802,35843,16854
28817,35967,16830
28832,36091,16806
28847,36215,16782
29405,26722,33488
28862,36339,16758
28877,36463,16734
28892,36587,16710
28907,36711,16686
28922,36835,16662
28937,36959,16638
28952,37083,16614
28967,37207,16590
28982,37331,16566
30316,26095,32141
28997,37455,16542
29012,37579,16518
29027,37703,16494
29042,37827,16470
29057,37951,16446
29072,38075,16422
29087,38199,16398
29102,38323,16374
29117,38447,16350
29132,38571,16326
29147,38695,16302
29162,38819,16278
29177,38943,16254
29192,39067,16230
29207,39191,16206
29222,38757,16069
33858,25672,27224
45268,41324,16058
45283,41448,16034
45298,41572,16010
45313,41696,15986
45328,41820,15962
45343,41944,15938
45358,42068,15914
45373,42192,15890
45388,42316,15866
45403,42440,15842
35213,25377,35269
45418,42564,15818
45433,42688,15794
45448,42812,15770
45463,42936,15746
45478,43060,15722
45493,43184,15698
45508,43308,15674
45523,43432,15650
45538,43556,15626
25782,29903,31563
