obj0,obj1,obj2,obj3
-567,9,92,-258
-547,106,-175,-446
-551,-51,-215,-200
-543,-90,144,-99
-539,22,-53,-493
-527,-150,-163,-41
-530,84,-344,-501
-505,308,-343,-657
-519,-189,196,60
-501,-192,-24,215
-541,66,81,-281
-493,-205,14,-238
-477,-220,-56,-32
-515,-77,-1,-334
-501,-121,-108,-191
-546,-10,-68,-239
-466,-232,164,-88
-525,-22,-160,-350
-499,-164,-192,-461
-503,-82,-228,-381
-522,-30,-93,-314
-465,-253,299,-276
-458,-264,-184,73
-505,305,-349,-642
-505,257,-339,-560
-452,-297,-68,-82
-505,-44,-352,-454
-505,254,-345,-545
-504,85,-216,-514
-500,226,-281,-599
-473,-214,-60,-377
-499,158,-73,-541
-449,-313,-8,-218
-479,282,-333,-666
-453,-255,-156,-149
-492,91,-155,-549
-453,259,-317,-690
-475,149,-293,-649
-433,-341,-196,23
-474,6,-333,-533
-491,-179,279,-349
-495,13,-197,-492
-477,-180,-320,-319
-473,-163,-64,-474
-475,98,-289,-552
-452,26,-277,-585
-469,2,-17,-548
-452,-25,-273,-488
-445,211,-261,-702
-452,-71,-182,-506
-416,-350,262,-401
-448,-41,-289,-540
-444,199,-274,-728
-398,-353,42,-246
-444,148,-270,-631
-444,-75,-29,-598
-378,-371,-100,-64
-443,-221,-56,-356
-457,-242,-248,-136
-431,-316,-228,-63
-438,-222,247,-497
-429,-235,-152,-419
-444,-126,-25,-501
-446,-194,206,-394
-423,132,-284,-599
-422,47,-231,-615
-420,-268,226,-321
-421,-250,319,-307
-429,-160,-44,-505
-413,-25,-10,-677
-482,-165,-236,-86
-426,-94,-166,-530
-418,-314,15,-200
-479,-181,-176,-222
-449,230,-192,-661
-365,-376,106,-361
-506,-66,-288,-245
-442,-215,-37,-359
-391,-153,5,-581
-364,-385,-196,-127
-413,-76,-6,-580
-402,302,-288,-732
-400,-93,-38,-543
-530,33,-340,-404
-423,183,-288,-696
-452,-246,-72,-179
-401,508,-185,-776
-451,-230,-188,-235
-358,-418,-80,-282
-523,-17,-235,-298
-412,-296,267,-424
-391,-177,33,-564
-403,-258,-136,-443
-344,-84,-97,-637
-404,-344,-186,-102
-352,-223,22,-557
-391,-228,37,-467
-372,-359,118,-400
-428,-245,-238,-261
-506,-15,-292,-342
-392,182,-265,-678
-373,-313,-141,-451
-349,117,-205,-684
-509,38,-388,-374
-344,-108,-69,-620
-369,-281,160,-457
-485,-87,-282,-386
-368,-293,147,-483
-319,62,-210,-692
-482,-114,-240,-183
-296,-301,33,-589
-393,429,-280,-810
-351,-269,-113,-520
-274,-116,-85,-632
-405,-334,-100,-260
-319,116,-68,-776
-397,184,-160,-709
-274,-155,-57,-595
-365,-176,161,-577
-295,-73,-207,-654
-414,-279,143,-236
-269,-118,-190,-601
-269,-193,-96,-599
-376,276,-278,-741
-257,-131,-177,-604
-407,-274,134,-410
-416,-238,119,-355
-321,-185,17,-576
-326,-166,11,-580
-318,-107,59,-633
-407,-242,-120,-391
-243,-117,-62,-614
-234,-252,75,-650
-275,56,-208,-678
-304,-200,-215,-576
-449,-278,-117,139
-381,-297,290,-406
-271,-38,-43,-689
-342,-263,-122,-530
-288,112,-191,-771
-244,31,-95,-755
-420,-174,23,-439
-321,-224,45,-539
-295,-92,142,-648
-412,-187,-300,-445
-196,-48,-164,-670
-327,-419,-57,-264
-350,253,-262,-765
-264,-96,19,-643
-318,-483,-202,-318
-187,-183,-27,-706
-351,-291,230,-499
-481,-143,-300,-295
-403,-309,-132,-346
-406,-252,-206,-233
-351,-320,-109,-423
-320,-316,141,-492
-405,-264,-219,-259
-319,252,-239,-747
-391,-204,9,-484
-351,-390,10,-424
-193,30,-122,-727
-342,-314,-118,-433
-499,59,-293,-466
-405,-259,8,-346
-316,-337,-102,-457
-382,-351,-154,-74
-452,-212,-95,-221
-431,-265,-232,-160
-363,-200,-268,-487
-376,-289,134,-363
-311,-385,-231,-459
-296,-352,37,-492
-464,63,-38,-543
-265,-302,56,-571
-421,-271,-21,-144
-234,-303,79,-553
-386,-210,-284,-469
-225,-367,-66,-607
-411,-277,-104,-94
-421,-247,-49,-161
-409,-252,-136,-180
-460,88,-196,-545
-404,-250,-53,-355
-358,-367,-84,-379
-406,-269,-80,-199
-469,-73,-125,-462
-386,-261,-280,-372
-435,-234,-264,17
-342,428,-307,-782
-320,348,-302,-768
-425,-313,-78,-78
