obj0,obj1,obj2,obj3,obj4
-7967,-3953,-7370,-4770,-6293
-7777,-4124,-6789,-4585,-5207
-7744,-4332,-7024,-4466,-6265
-7707,-4333,-6640,-4977,-6209
-7678,-4455,-6471,-4226,-5339
-7666,-4899,-7593,-5337,-6171
-7367,-4923,-7056,-4741,-5580
-7330,-4924,-6672,-5252,-5524
-7206,-4972,-6644,-5307,-5364
-7175,-5206,-7066,-5051,-5365
-7720,-3234,-7683,-3840,-6721
-7107,-5303,-6326,-4948,-5496
-6851,-5467,-7080,-4953,-5556
-7310,-2725,-7580,-3831,-6800
-7565,-3516,-8077,-3639,-6562
-6783,-5564,-6340,-4850,-5687
-7136,-3875,-6967,-3949,-6828
-7039,-3475,-7673,-3586,-7190
-6382,-5585,-5568,-4123,-5110
-6282,-5748,-6048,-4214,-4680
-7674,-4395,-7646,-4524,-5811
-7442,-4419,-7012,-5364,-5348
-7596,-3282,-7655,-3895,-6561
-7585,-3863,-7560,-4444,-6345
-7306,-4751,-6310,-5516,-5424
-7709,-4221,-6049,-4482,-5338
-7497,-3613,-7337,-3536,-6693
-7460,-3614,-6953,-4047,-6637
-7419,-4180,-7906,-4407,-6599
-7705,-4161,-7224,-4780,-5810
-7363,-4863,-8231,-5039,-6052
-7286,-4194,-7360,-4516,-6762
-6227,-5867,-5962,-3922,-4951
-7160,-4973,-6308,-4575,-6372
-7110,-5202,-7215,-4409,-5435
-7383,-4594,-6654,-4879,-6400
-7484,-4712,-6294,-4673,-6181
-7302,-4919,-7205,-4099,-5650
-7265,-4920,-6821,-4610,-5594
-7071,-5036,-6720,-4331,-5508
-7182,-4799,-6282,-5571,-5264
-7042,-5299,-6475,-4306,-5566
-6629,-2966,-7570,-3577,-7269
-7006,-5185,-6686,-5154,-5715
-7126,-4213,-7650,-5019,-6669
-7441,-4296,-7662,-4168,-6146
-7063,-4573,-7014,-4212,-6734
-7435,-4826,-7796,-4844,-5449
-7298,-4859,-8380,-4397,-6122
-6983,-5125,-7651,-5150,-5777
-6941,-5181,-6835,-4512,-5785
-6918,-5121,-7800,-4508,-5847
-6776,-4985,-7591,-4259,-5989
-6754,-5067,-7786,-4590,-5918
-6915,-3523,-7645,-3641,-7030
-5948,-5990,-6357,-3902,-5409
-6825,-4373,-6007,-5748,-5164
-6884,-3757,-8067,-3385,-7031
-7430,-4145,-7954,-4243,-6186
-6817,-5229,-6807,-4567,-5625
-6689,-5063,-7935,-3948,-5988
-6637,-4686,-6387,-4476,-6382
-6786,-5463,-7229,-4311,-5626
-6198,-3735,-7953,-3835,-7566
-6726,-5218,-6473,-4556,-5848
-6686,-5164,-7046,-4487,-6049
-6572,-4682,-6536,-3834,-6452
-6866,-4593,-6920,-5226,-6585
-6913,-4254,-6621,-3645,-6800
-6816,-3854,-7327,-3282,-7162
-6621,-5160,-7195,-3845,-6119
-6882,-5233,-6658,-5209,-5555
-6800,-3906,-7823,-3906,-6828
-6542,-4854,-6934,-5128,-6776
-6718,-5560,-6489,-4208,-5757
-6475,-4282,-7242,-3471,-6814
-6879,-3494,-7963,-4089,-7097
-6735,-3902,-7972,-3264,-6898
-6459,-4176,-5782,-3397,-6825
-6305,-5079,-7193,-4095,-6401
-6661,-5214,-6622,-3914,-5918
-6445,-4454,-7640,-4765,-7138
-6658,-5315,-5733,-4453,-5979
-6272,-5729,-6343,-4000,-5218
-6593,-5311,-5882,-3811,-6049
-6496,-4911,-6588,-3448,-6411
-6619,-3874,-7233,-4296,-7013
-6237,-5176,-6453,-3992,-6532
-6240,-5075,-7342,-3453,-6471
-6516,-5365,-6861,-4466,-5905
-6165,-5445,-6966,-5403,-6091
-7370,-4822,-7945,-4202,-5519
-6100,-5441,-7115,-4761,-6161
-7067,-4786,-8583,-3904,-5400
-6095,-5226,-7581,-4005,-6458
-6216,-4547,-7107,-4015,-6935
-6171,-5611,-6703,-4206,-5437
-6172,-5172,-6602,-3350,-6602
-5918,-5254,-5816,-4097,-6171
-5806,-5369,-6079,-4559,-6279
-5878,-4792,-7214,-4001,-6815
-6807,-5166,-7853,-4111,-5316
-6487,-5487,-6692,-3715,-5035
-5851,-5590,-7063,-3539,-5771
-6744,-4123,-7840,-4693,-6721
-5707,-4968,-6148,-3726,-6667
