obj0,obj1,obj2,obj3,obj4
-498,-207,-174,24,-251
-484,-203,-185,-67,-236
-471,-208,-207,-181,-73
-468,-256,-186,-243,-39
-463,-269,-187,-93,-166
-462,-267,-210,-377,16
-458,-203,-238,-65,-179
-445,-292,-268,-265,-270
-490,-192,-161,67,-291
-449,-265,-198,-184,-151
-427,-322,-189,-187,-229
-462,-260,-176,-70,-314
-424,-282,-277,-336,-147
-380,-325,-302,-289,-211
-394,-211,-338,-433,-268
-368,-344,-199,-77,-225
-432,-231,-197,23,-340
-366,-439,-266,-145,-154
-428,-154,-188,-350,-26
-404,-299,-212,-114,-363
-437,-277,-255,-222,-310
-401,-224,-82,-56,-365
-384,-170,-288,-213,-403
-359,-187,-367,-365,-399
-398,-184,-268,-352,-149
-405,-96,-271,-56,-272
-392,-185,-301,-256,-363
-407,-321,-209,-281,42
-411,-297,-199,-3,-270
-417,-175,-256,-411,-37
-409,-160,-243,-368,-77
-362,-355,-223,-211,-170
-372,-310,-289,-246,-251
-405,-308,-223,-137,-215
-440,-139,-174,-389,194
-406,-211,-179,-353,-104
-339,-332,-246,-138,-304
-384,-298,-232,-208,-92
-344,-304,-196,150,-306
-310,-383,-235,-121,-274
-327,-218,-335,-280,-304
-307,-89,-411,-379,-344
-386,-196,-325,-390,-308
-290,-254,-311,-220,-314
-316,-340,-144,-260,-289
-191,-283,-227,-218,-404
-260,-225,-332,-127,-340
-159,-314,-97,14,-443
-231,-276,-321,-110,-310
-360,-297,-119,-307,-225
-375,-232,-248,-332,-375
-308,-325,-131,-217,-329
-378,-181,-312,-347,-348
-346,-283,-237,-315,-345
-300,-209,-377,-255,-395
-373,-292,-97,-193,-388
-403,-289,-220,-267,20
-249,-347,-141,-107,-325
-313,-332,-299,-136,-247
59,-405,-225,183,-388
-220,-350,-191,0,-392
-155,-383,-225,-24,-333
-376,-241,-259,-355,-227
-325,-192,-298,-103,-399
-285,-247,-143,-301,-396
-277,-350,-181,-170,-260
-223,-299,-255,-15,-365
-251,-252,-74,-39,-396
-68,-299,-245,82,-424
-226,-269,-153,-191,-392
-378,-299,-265,-112,-306
-349,-232,-301,-330,-318
-125,-354,-246,69,-359
-153,-325,-121,-120,-388
1,-366,-189,227,-339
-122,-350,-171,-73,-319
-319,-321,-275,-2,-302
92,-372,-171,134,-374
-275,-292,-77,-266,-315
-316,-254,-258,-222,-371
-94,-347,-131,-10,-384
-319,-203,-322,-237,-344
-282,-277,-245,-125,-369
-217,-310,-279,-149,-310
-9,-321,-255,192,-420
-158,-332,-289,-39,-306
-164,-321,-265,95,-361
-194,-232,-291,-233,-377
-248,-282,-176,137,-369
-214,-256,17,-252,-366
-183,-315,-210,113,-310
-371,-266,-158,-163,-349
-135,-254,-301,-123,-373
-132,-305,-237,-108,-400
-306,-299,-192,-187,-290
-95,-270,-256,5,-318
-157,-288,-158,44,-404
-28,-315,-200,210,-369
-92,-321,-192,20,-345
