obj0,obj1,obj2,obj3,obj4
6119,14273,12652,10449,11811
6148,14218,12699,10506,11881
6177,14163,12746,10563,11951
6184,14342,12759,10505,11726
6206,14108,12793,10620,12021
6249,14411,12866,10561,11641
6235,14053,12840,10677,12091
6314,14480,12973,10617,11556
6264,13998,12887,10734,12161
6293,13943,12934,10791,12231
6379,14549,13080,10673,11471
6322,13888,12981,10848,12301
6444,14618,13187,10729,11386
6351,13833,13028,10905,12371
6509,14687,13294,10785,11301
6380,13778,13075,10962,12441
6409,13723,13122,11019,12511
6574,14756,13401,10841,11216
6438,13668,13169,11076,12581
6639,14825,13508,10897,11131
6467,13613,13216,11133,12651
6704,14894,13615,10953,11046
6496,13558,13263,11190,12721
6769,14963,13722,11009,10961
6525,13503,13310,11247,12791
7236,14362,11062,9850,12275
6554,13448,13357,11304,12861
6834,15032,13829,11065,10876
6583,13393,13404,11361,12931
6899,15101,13936,11121,10791
6612,13338,13451,11418,13001
6964,15170,14043,11177,10706
6641,13283,13498,11475,13071
6670,13228,13545,11532,13141
7029,15239,14150,11233,10621
6699,13173,13592,11589,13211
7094,15308,14257,11289,10536
6728,13118,13639,11646,13281
7159,15377,14364,11345,10451
6757,13063,13686,11703,13351
6766,12009,11394,10605,12465
7224,15446,14471,11401,10366
7289,15515,14578,11457,10281
7354,15584,14685,11513,10196
7419,15653,14792,11569,10111
7307,15357,12531,8398,11225
7484,15722,14899,11625,10026
7509,13882,14500,11332,8930
8156,11618,13242,11488,9584
7665,14079,14631,11400,8922
7821,14276,14762,11468,8914
7977,14473,14893,11536,8906
8133,14670,15024,11604,8898
8289,14867,15155,11672,8890
8445,15064,15286,11740,8882
8601,15261,15417,11808,8874
8757,15458,15548,11876,8866
8913,15655,15679,11944,8858
9069,15852,15810,12012,8850
9127,17289,15527,9966,8845
9192,17358,15634,10022,8760
9257,17427,15741,10078,8675
8637,10668,11026,11488,14749
9322,17496,15848,10134,8590
9387,17565,15955,10190,8505
9452,17634,16062,10246,8420
9517,17703,16169,10302,8335
9582,17772,16276,10358,8250
9607,15932,15877,10065,7154
8424,15446,10941,7799,11689
6213,14287,12806,10562,11796
6329,14067,12994,10790,12076
6300,14122,12947,10733,12006
6358,14012,13041,10847,12146
6271,14177,12900,10676,11936
6278,14356,12913,10618,11711
6387,13957,13088,10904,12216
6242,14232,12853,10619,11866
6307,14301,12960,10675,11781
6416,13902,13135,10961,12286
6343,14425,13020,10674,11626
6423,14081,13148,10903,12061
6394,14136,13101,10846,11991
6452,14026,13195,10960,12131
6365,14191,13054,10789,11921
6372,14370,13067,10731,11696
6445,13847,13182,11018,12356
6481,13971,13242,11017,12201
6336,14246,13007,10732,11851
6510,13916,13289,11074,12271
6401,14315,13114,10788,11766
6408,14494,13127,10730,11541
6474,13792,13229,11075,12426
6517,14095,13302,11016,12046
6488,14150,13255,10959,11976
6437,14439,13174,10787,11611
6546,14040,13349,11073,12116
6459,14205,13208,10902,11906
6539,13861,13336,11131,12341
6575,13985,13396,11130,12186
6466,14384,13221,10844,11681
6430,14260,13161,10845,11836
6604,13930,13443,11187,12256
6503,13737,13276,11132,12496
6495,14329,13268,10901,11751
6568,13806,13383,11188,12411
6502,14508,13281,10843,11526
7091,12354,11929,10885,12040
6473,14563,13234,10786,11456
7156,12423,12036,10941,11955
