obj0,obj1,obj2
1172,3999,4726
1234,3984,4610
1235,4013,4590
1299,4288,3921
1384,4243,3907
1429,4645,3879
1430,4674,3859
1494,4949,3190
1235,3962,4765
1253,3864,4613
1316,3827,4652
1333,3665,5055
1320,3968,4576
1372,4277,4122
1395,3650,4939
1390,4179,3970
1396,3628,5094
1515,4629,3845
1529,4394,3711
1414,3530,4942
1392,4079,4354
1351,3718,4970
1477,3493,4981
1432,3583,4857
1415,3993,4301
1531,4581,3666
1504,3487,4853
1254,3893,4593
1566,3355,4796
1568,4384,3638
1433,3802,4391
1448,4525,3882
1449,4554,3862
1579,4904,3176
1495,3670,4334
1726,5242,2935
1585,4840,3239
1453,4142,4009
1454,3947,4297
1632,4102,3632
1459,3925,4270
1317,3856,4632
1633,4131,3612
1496,3858,4188
1654,4586,3539
1585,3352,4740
1628,3340,4680
1647,3220,4683
1514,3667,4278
1557,3655,4218
1570,4117,3748
1679,4723,3531
1495,3546,4896
1680,4752,3511
1614,3998,4083
1566,3472,4737
1689,4353,3448
1567,3501,4717
1576,3535,4221
1495,3787,4275
1391,4208,3950
1690,4382,3428
1631,3776,4048
1454,4171,3989
1737,5074,3029
1753,4500,3395
1665,3153,5182
1763,5045,2907
1632,4051,3998
1769,4366,3355
1627,4368,3746
1827,4763,2901
1828,4792,2881
1633,4080,3787
1651,3982,3635
1790,4433,3313
1496,3816,4255
1894,5220,2845
1635,4073,3929
1612,3521,4635
1727,3021,5125
1515,3696,4258
1558,3684,4198
1586,3381,4720
1822,5029,3015
1931,5023,2817
1700,3847,3965
1629,3369,4660
1656,3453,4604
1586,4869,3219
1948,5161,2664
1846,4643,2904
1674,3389,4578
1683,3206,5097
1693,3386,4522
1708,4233,3451
1714,3945,3674
1643,3639,4184
1716,3731,4034
1727,3138,5066
1729,3504,4470
1774,3899,3798
1737,3201,4550
1894,4413,3138
1747,3481,4428
1722,3667,4097
1745,3074,5040
1749,3836,3992
1746,3018,5069
1785,3802,3951
1789,3006,5009
1764,3071,4984
1755,3254,4465
1718,4086,3598
1830,3701,3879
1577,3564,4201
1772,3492,4410
1808,2886,5012
1675,3333,4607
1809,3970,3590
1791,3413,4397
1648,3249,4663
1838,4049,3581
1791,3738,4014
1828,3346,4315
1847,3903,3422
1826,2939,4927
1709,4262,3431
1791,3372,4413
1792,3767,3994
1782,3599,4111
1723,3696,4077
1718,3321,4547
1793,3768,3961
1859,3854,3784
1812,3648,3964
1775,4337,3414
1959,3140,4433
1652,4011,3615
1913,4747,2867
1714,3324,4646
1985,5094,2582
1832,4329,3394
1783,3628,4091
1852,4181,3353
1856,3532,4310
1860,3484,4314
1884,3530,4138
1897,3417,4232
1845,3562,4150
1866,3819,3827
1911,4392,3303
1918,4357,3346
1937,4136,3339
1952,4387,3270
1853,3606,3957
1875,3801,3748
1869,3899,3780
1979,4368,3124
1846,3591,4130
2005,3047,4889
1946,3486,4210
1985,4304,3187
1929,3782,3866
1969,4560,3067
1885,3559,4118
1715,3974,3654
1902,3583,4053
1937,3669,3691
2022,3103,4472
1893,3854,3663
1973,3507,4049
1838,3964,3599
2043,2791,5098
1962,3537,3889
1854,3635,3937
1883,3333,4426
1980,3494,4090
2074,5146,2567
1988,3445,4009
2007,4195,3311
1893,3664,3918
1943,3265,4440
1995,4741,2811
2026,3050,4764
1995,3392,4283
2139,4893,2541
1978,3294,4396
1926,3675,3884
2012,4116,3105
2009,4551,3065
1996,4770,2791
2014,4621,2814
2008,3354,4153
1993,3327,4361
1930,3884,3628
2030,4169,3020
2191,5286,2503
1955,3722,3606
1943,4072,3402
2039,5052,2713
1994,3271,4390
1997,3189,4333
2049,2979,4858
1995,3300,4370
2007,3540,3771
1944,4101,3382
2012,3324,4305
2042,4564,2691
2088,2918,4707
1982,3877,3507
2013,3353,4285
2014,3272,4286
2086,2912,4776
2026,3407,4068
2037,4536,2888
2025,3332,4198
2026,4075,3314
1986,4333,3167
2217,5257,2381
2007,4064,3421
2006,3498,3924
2078,4066,3307
2049,3829,3590
2090,4028,3261
1847,4672,2884
2105,2659,5041
2088,3035,4648
2083,3801,3567
2032,3325,4201
2050,3313,3952
2043,3402,3776
2099,3852,3246
2091,3983,3405
2074,3192,4248
2035,3492,3933
2068,2859,4861
2040,5081,2693
2122,4491,2874
2106,2971,4622
2095,3989,3315
2015,3227,4314
2044,3431,3756
2110,3822,3406
2075,3221,4228
2075,4079,3144
2114,3087,4238
2057,3168,4313
2077,3628,3616
2125,3760,3366
2047,4842,2622
2087,3200,4141
2124,4276,3004
1997,3174,4399
2121,2998,4414
2129,4456,2917
2096,3017,4660
2056,3139,4333
2131,3586,3747
2143,3733,3581
2132,3615,3727
2059,3130,4471
2162,4445,2925
2134,3504,3690
2146,3755,3512
2015,4650,2794
2196,4317,2988
2162,3647,3555
2152,3310,3979
2120,2806,4762
2153,3275,4124
2197,4346,2968
2179,3391,3549
2189,3243,3897
2180,3717,3133
2116,3999,3139
2215,4820,2532
2132,4797,2608
2235,4356,2967
2244,4412,2889
2254,5190,2299
2107,2915,4651
2054,3372,3936
2224,4848,2527
2180,4498,2840
2068,3366,3867
2163,4474,2905
2191,3687,3293
2256,4270,2924
2228,5219,2421
2125,2968,4566
2115,3116,4218
2124,2656,4985
2204,3068,4105
2186,2524,4928
2125,3057,4398
2198,3201,4114
2150,2903,4591
2106,3365,3815
2216,4226,2971
2197,3642,3540
2138,2859,4677
2215,4197,2991
2172,3966,3186
2272,4289,2885
2139,3051,4329
2141,3458,3717
2093,4132,3059
2241,3649,3412
2274,4323,2839
2181,4527,2820
2187,2836,4509
2274,4857,2436
2143,3813,3281
2181,3746,3113
2220,2943,4098
2125,2685,4965
2240,3183,3908
2310,4551,2782
2176,2908,4577
2169,2783,4594
2138,4733,2671
2278,4484,2834
2236,4031,2987
2177,3050,4277
2290,3357,3870
2189,2960,4296
2340,4469,2718
2306,4393,2827
2248,3462,3466
2309,3354,3814
2172,3807,3290
2310,3286,3801
