obj0,obj1,obj2,obj3
919,2945,3333,3349
1110,2788,3286,3327
1123,2837,2907,3559
1164,3749,2465,3270
1207,3650,2424,3192
1404,2273,3267,3416
1406,3168,2423,3282
1474,2970,2672,3050
1366,2288,2827,3587
1536,2890,3436,2803
1608,2432,3341,2808
1213,2430,3314,3438
1723,2550,3316,2782
1729,3628,2545,2647
1626,2318,3198,3170
1812,2324,2915,3018
1824,3595,2527,2646
1627,2828,2185,3199
1908,3075,2530,2925
1466,3653,2138,3536
1727,2275,3333,2754
1763,2825,2724,3084
1501,3135,2405,3281
1914,2393,3269,2760
1509,3554,2097,3458
1920,3013,2442,2598
1918,2118,3286,2732
1820,2980,2500,3158
1830,2210,2772,3380
1817,3786,1903,3027
2040,2881,2714,2443
1871,3122,2330,3091
1916,2683,2237,3233
1914,3023,2289,3013
1655,2143,2879,3621
1860,3687,1862,2949
1966,2001,3236,2810
1657,3038,2035,3487
2113,2541,2288,3103
1902,1917,3322,2897
1970,3644,1416,3176
2150,2494,2488,2937
1973,2838,2013,3307
2055,1775,2835,3046
2011,2823,2453,3136
1880,2210,3175,3240
2124,1695,2753,3469
1715,2337,3421,3081
2225,2377,3444,2262
2157,1844,3189,2788
2064,3579,1436,3159
2011,3255,2407,2625
1920,1803,3179,3259
2159,2739,2345,2654
2163,2457,2680,2509
2173,3026,2003,3357
2108,3685,1591,3001
2155,3140,2146,2995
2227,2541,2594,2422
2216,2927,1962,3279
2181,2343,2537,2871
2331,3631,1922,2343
2415,2445,1961,3369
2506,3273,1911,2486
2198,3041,2105,2917
1919,2229,2995,3291
2316,2315,2193,2658
2416,1762,3341,2213
2524,3159,1768,2848
2208,2508,2270,3102
2245,2461,2470,2936
2346,2525,2043,2946
2385,2235,2111,3081
2262,2693,2065,3341
2473,2954,2610,2302
2510,2412,1943,3368
2423,2220,2273,2931
2668,2219,2269,2784
2737,2139,2187,3207
2567,3060,1727,2770
2210,2979,2203,3191
2305,2946,2185,3190
2516,3127,2652,2162
2775,2124,2349,3057
2386,2891,2542,2551
2714,2970,1481,2831
2966,2114,2434,2401
2270,2362,2760,2782
2979,2077,2626,1973
2436,3001,2410,2468
1957,1756,3379,3093
2243,2263,3301,2624
2771,2952,1301,2980
3048,1997,2544,2396
3322,2893,1857,1950
2561,3112,1968,2682
2659,3131,1424,2635
2684,1815,3158,2673
2622,2266,2836,2908
2784,2207,2779,2098
3377,2732,1914,2146
2193,2667,2530,2797
2065,3784,1632,3079
2110,1614,2892,3242
3391,2813,1775,2373
2288,2634,2512,2796
2280,2216,3501,2458
2568,2921,2592,2301
2401,2364,2100,3142
3325,2087,2454,2081
3086,1982,2706,2246
2531,2968,2392,2467
2549,3174,1870,2408
2664,2339,2507,2253
2485,1682,3259,2636
2794,2294,1963,3281
3268,1932,2678,2007
3434,2714,1734,2295
2493,1972,3205,2695
3394,2007,2372,2504
2611,3094,2634,2161
2707,2512,2549,2113
2978,1300,3139,2762
2515,2361,2756,2635
3337,1852,2596,2430
2516,2396,2646,2456
3682,2712,1463,2347
2725,2374,2045,2858
3432,1992,2534,2354
2570,3357,1825,2399
3585,1850,2325,2482
2579,3629,1651,2395
2573,2551,2422,2530
3121,2134,2177,3165
2678,2420,2368,2480
2718,1537,3268,2361
2738,2776,2337,2616
3014,2229,2097,2892
3075,2957,1987,1998
3083,2149,2015,3315
2664,3292,1845,2382
2729,2368,2722,1902
2753,3066,1444,2618
2773,2387,2350,2479
2656,3079,1950,2681
2781,2677,2296,2538
3623,1835,2487,2332
3009,2287,2476,2261
3625,2730,1643,2198
2254,1821,3398,3023
2211,1648,3356,3163
3020,3118,1930,1802
2577,2734,2495,2529
2980,2195,2295,2628
2462,1518,2968,3368
3375,1837,2758,2280
2471,1601,3398,2409
2407,1679,2911,3172
2798,2288,2640,2325
3075,2162,2277,2627
2861,2803,2538,2232
2739,1574,3236,2706
3639,2811,1504,2425
2787,1457,3186,2784
3089,3038,1848,2225
3184,3005,1830,2224
2476,1599,2829,3595
2764,2394,2375,2508
2725,1493,3375,2479
2818,3355,1554,2451
3386,3004,1740,2142
2410,3589,1264,3267
2316,3654,1244,3284
2773,1376,3325,2557
2912,3290,1574,2434
2958,3233,1722,2608
2728,3051,1342,3058
3495,3052,1583,2368
3400,3085,1601,2369
2964,1219,3278,2535
3138,2427,2574,2102
3068,3190,1276,2835
3614,1942,2506,2115
3416,2828,1877,1933
2768,1666,3417,2339
3162,3125,1296,2818
3429,3177,1782,2002
3668,2903,1685,2058
3137,3110,1194,3258
3180,3011,1153,3180
3007,1392,3320,2395
3762,2838,1705,2041
