obj0,obj1,obj2
-494,-58,-304
-486,-223,-197
-468,-271,-204
-430,-284,-311
-415,-292,-300
-410,-312,-427
-466,-105,-308
-402,-316,-351
-447,-109,-310
-396,-344,-344
-444,-221,-382
-384,-364,-358
-366,-412,-365
-426,-269,-389
-468,-110,-235
-452,-153,-273
-241,-432,-151
-450,-158,-242
-375,-169,-466
-219,-449,-453
-443,-260,-260
-175,-470,-242
-441,-255,-333
-367,-299,-486
-74,-491,-468
-316,-283,-492
-28,-507,-330
-222,-341,-501
-204,-389,-508
71,-533,-483
-108,-390,-527
-322,-334,-382
-292,-321,-392
-257,-358,-366
-255,-353,-439
-239,-406,-373
-237,-401,-446
-26,-481,-552
-330,-309,-454
117,-549,-345
-173,-444,-464
-32,-408,-516
184,-561,-346
182,-474,-557
53,-485,-476
200,-522,-564
